fold,test_mae,test_r2,best_tune_max_feat,best_tune_mae
1,2.267258064516126,0.746226507097957,0.25,0.6485901923860787
2,2.3215129032258073,0.7238365553396581,0.5,0.6627321638033016
3,1.7001870967741817,0.8286246559156912,0.25,0.6429185641009225
4,2.901177419354837,0.679534098631245,1.0,0.6570860181473644
5,1.7752967741935437,0.6413965513868387,0.25,0.6598401614460381
6,2.5264645161290358,0.6352999888965045,0.5,0.6513178599118072
7,2.0062612903225805,0.6590284061848353,0.5,0.6625425927964946
8,2.371980000000003,0.4971148583951882,0.5,0.6574919604958084
9,2.655553333333332,0.14837469227485767,0.75,0.6843812869842489
10,2.690113333333333,0.6600689287357699,0.75,0.6608883545870661
