variable,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,mean,sd
alcohol_admissions,0.008360909788799725,0.009545705010425846,0.011121732098014767,0.014950310977465218,0.014250847809164502,0.00953021932779882,0.010578766518931996,0.010066746965398983,0.012375506831061174,0.008979988291150919,0.010976073361821194,0.002222184952369859
air_pollution,0.00977885270162157,0.014479971941988969,0.015611417468739714,0.016278120595121834,0.017875190397250523,0.010561692497873474,0.017632776329880168,0.018316618943877958,0.0173162729581162,0.011040319374027505,0.01488912332084979,0.0032720406865778557
asthma,0.006472865367343284,0.007634889283314087,0.008711066737603928,0.012110525259370892,0.010837330673786439,0.004793116298185392,0.009015080669280515,0.010402496483823331,0.008727817771974343,0.007052034877186852,0.008575722342186906,0.0021888150222487304
ave_wk_earn,0.011110948673077043,0.010583121670147227,0.010246099718111454,0.014636131706047684,0.011399969787007849,0.009019189528674693,0.010320483975706065,0.007844267489216907,0.009798545358470682,0.009301978259221723,0.010426073616568133,0.0018108545674855087
CHD,0.005429839010371862,0.009616838112555363,0.009622731117657784,0.008510452541856091,0.008921869923162773,0.005685791790133353,0.007633404344772824,0.009918261598289074,0.007288834876882735,0.005747564961508919,0.007837558827719079,0.0017463798393855005
COPD,0.010051837498258503,0.008019227904314962,0.012729392491534902,0.008905325673028278,0.01021428100602171,0.007435988668639739,0.01055185353730056,0.012780752806904196,0.010365631739108894,0.0065331628281776214,0.009758745415328937,0.0020763709856701537
depression,0.007865771574552167,0.009594310680974287,0.009651430027390434,0.009970092080725083,0.009890370148465446,0.008536053221246964,0.008480801847898983,0.008835849981614607,0.009716486073444077,0.00725578912650702,0.008979695476281907,0.0009345906842972263
hypertension,0.005716456078137155,0.007899413564372577,0.010437918054914072,0.010711490552692281,0.009212939979420257,0.007334096863724382,0.011836298448229027,0.00947914786355302,0.009746205300301606,0.008677477779255668,0.009105144448460004,0.0017837163785885991
loneliness,0.008351579746657227,0.010580598624094405,0.009394501358032771,0.007209942663431963,0.009232292354274071,0.007073218579395866,0.0066009643442439155,0.011673754373050056,0.009872777497954044,0.009017701412451512,0.008900733095358581,0.0016197727223329341
obese,0.032290796192043274,0.030951997220245983,0.03522356746324237,0.02507848118405379,0.030942157848849145,0.023059640014167403,0.030839400065171833,0.032067812904331944,0.0295086268979512,0.02406644372703335,0.02940289235170903,0.003994175110983809
five_a_day,0.037679702199240286,0.1295086885891237,0.11397587020799957,0.11125244424898086,0.10637012157975896,0.12820632290802406,0.11611582046883061,0.08506099476249734,0.12071955725498627,0.1267059187941992,0.10755954410136408,0.02782211829732916
pop_density,0.011593454712273825,0.010052136900713923,0.021156678855040436,0.015503794924628571,0.017207521328187095,0.01892271341477255,0.02100108133397023,0.016366881693661246,0.02272744803766002,0.009182257235603262,0.016371396843651118,0.004797439926167604
smoking,0.057675911537809474,0.043696401862761934,0.05684880999879858,0.05626974317062789,0.05917238495951537,0.05826019592489246,0.051059308205488554,0.06411907152168016,0.0592112074953989,0.06221760906133956,0.05685306437383129,0.005794403850932364
stroke,0.007635065368349224,0.006551778176364071,0.009479493777455845,0.012598974904650532,0.009422229928210919,0.007891617349375999,0.010175014908212463,0.008778868789992846,0.009006876998418456,0.006767706247761422,0.008830762644879179,0.0017817747213282678
crime,0.009055400501699808,0.014669020116484797,0.0173468050489901,0.016631531580381477,0.024727423857053257,0.01592593154070859,0.015713589693407512,0.021071874501143853,0.019887913522127567,0.02282401666417382,0.017785350702617077,0.004521545267207132
qual_none,0.16185243115861808,0.10820422277254242,0.11298072868813193,0.10823055219955506,0.11624605914219856,0.13107133525625872,0.10494966712370575,0.11853660319325271,0.10926668756331182,0.10327580420247733,0.11746140913000522,0.01755731976720355
qual_L1,0.028232742975410962,0.01577156164108941,0.015336334147751473,0.022730826736302678,0.02610020057241824,0.0173518238086342,0.02117062017734752,0.02257498800256386,0.01880795064742533,0.01401188872330849,0.020208893743225216,0.004760173118211099
qual_L2,0.00905435876091709,0.0078613838091364,0.013684957209530302,0.012602487271498392,0.011114139951562442,0.007939380306381217,0.011359799792887796,0.011621966793185392,0.013137585023213409,0.00804855256293024,0.010642461148124269,0.0022438083428908025
