cluster,fold,mtry,rmse,train_n,test_n
0,0,1,3.9415641531419086,185,21
0,0,20,3.56471002888032,185,21
0,0,39,3.5258708077377348,185,21
0,0,59,3.5271514723033066,185,21
0,0,78,3.4831421947103083,185,21
0,0,98,3.5106000366915904,185,21
0,1,1,4.3323920931249145,185,21
0,1,20,3.041189855099785,185,21
0,1,39,3.122522023331519,185,21
0,1,59,2.8549751123091687,185,21
0,1,78,3.063782186790564,185,21
0,1,98,2.9648219327401537,185,21
0,2,1,3.7848405281244397,185,21
0,2,20,3.0734625076923363,185,21
0,2,39,2.990142690495531,185,21
0,2,59,2.9626011287541245,185,21
0,2,78,3.1417832821352873,185,21
0,2,98,3.0012884402250655,185,21
0,3,1,2.7957498967608196,185,21
0,3,20,3.0249016065855603,185,21
0,3,39,2.915668683330198,185,21
0,3,59,2.9594341047700756,185,21
0,3,78,2.9204453823738232,185,21
0,3,98,2.883384719140247,185,21
0,4,1,4.644091328056906,185,21
0,4,20,3.3355237575443653,185,21
0,4,39,3.1846228922298416,185,21
0,4,59,3.205430597402151,185,21
0,4,78,3.2151356962402318,185,21
0,4,98,3.0872737551191767,185,21
0,5,1,4.819206479089198,185,21
0,5,20,3.7959172220514286,185,21
0,5,39,3.487470849101586,185,21
0,5,59,3.575517814380509,185,21
0,5,78,3.5874454254352326,185,21
0,5,98,3.5380304837982544,185,21
0,6,1,3.4714663181428027,186,20
0,6,20,3.34696924283746,186,20
0,6,39,3.360832061558562,186,20
0,6,59,3.3418116900866783,186,20
0,6,78,3.532317952633934,186,20
0,6,98,3.385097868378402,186,20
0,7,1,3.469660111523887,186,20
0,7,20,2.878412732653183,186,20
0,7,39,2.5686686007540978,186,20
0,7,59,2.4721831891063406,186,20
0,7,78,2.5216568570089026,186,20
0,7,98,2.546974713066464,186,20
0,8,1,3.6228634722412654,186,20
0,8,20,3.051601993216031,186,20
0,8,39,2.9572062854998813,186,20
0,8,59,2.973635669260786,186,20
0,8,78,2.9018050808074647,186,20
0,8,98,2.9291672760359737,186,20
0,9,1,4.217160750552441,186,20
0,9,20,3.556450814365364,186,20
0,9,39,3.5369394051920175,186,20
0,9,59,3.5733418430791115,186,20
0,9,78,3.516512630362645,186,20
0,9,98,3.508289989154269,186,20
1,0,1,4.593695493449525,228,26
1,0,20,3.5561489265344735,228,26
1,0,39,3.4348841322412937,228,26
1,0,59,3.5302638279596024,228,26
1,0,78,3.5340401048505714,228,26
1,0,98,3.6046633000771404,228,26
1,1,1,4.076043494379916,228,26
1,1,20,3.3951577608071726,228,26
1,1,39,3.395801460287731,228,26
1,1,59,3.47122263364188,228,26
1,1,78,3.5121193243484115,228,26
1,1,98,3.449249676378906,228,26
1,2,1,4.625490273307414,228,26
1,2,20,3.3670830768691147,228,26
1,2,39,3.32903656829974,228,26
1,2,59,3.232789140498194,228,26
1,2,78,3.1722796889618614,228,26
