cluster,train_n,test_n,test_mtry,best_tune_rmse,train_rmse,test_rmse,train_Rsquared,test_Rsquared
0,206,84,19,3.207925717644921,1.0990017769670353,3.435601502042007,0.9560290956939393,0.6146216479261112
1,254,41,13,3.113384119019332,1.1639271395162012,2.7820143156423667,0.9513727505523635,0.6916890764081557
2,262,27,7,3.166742329750245,1.1584803279092248,2.714555385325561,0.9512363257665979,0.7482954748624271
3,262,32,7,3.166742329750245,1.2149732255712304,2.4308832303686483,0.9439766408260748,0.5818114308386073
4,276,18,7,3.081134414608712,1.162495096218425,2.174187666565251,0.9522520692563878,0.5037765622589776
5,273,24,13,3.0761667190393487,1.089338044822379,3.941210508629725,0.9587137321716008,0.4269197250902196
6,279,20,7,3.0811620842612597,1.1340037643354104,2.8323021436633415,0.9549732532681923,0.625946348817981
7,292,12,7,3.0052390294155202,1.1451991307072324,3.524077686549118,0.9526963097884454,0.20280093621154716
8,269,22,7,3.137282689063981,1.1641318802639329,2.8966476752524524,0.9530929584525007,0.5207475536295842
9,257,27,13,3.1604795655982523,1.1336694262850093,3.27439533354944,0.9572121743827272,0.4876200537215033
