cluster,fold,mtry,rmse,train_n,test_n
0,0,1,3.8102835628136136,185,21
0,0,7,3.4853714635670583,185,21
0,0,13,3.6430748266892787,185,21
0,0,19,3.6382363648051217,185,21
0,0,25,3.647878618686021,185,21
0,0,32,3.706946725374122,185,21
0,1,1,3.433630087683803,185,21
0,1,7,3.027811976454588,185,21
0,1,13,3.0869515000740613,185,21
0,1,19,3.1940468467954237,185,21
0,1,25,3.1357282881561708,185,21
0,1,32,3.052779573640728,185,21
0,2,1,3.3840998561198554,185,21
0,2,7,3.0387480891063716,185,21
0,2,13,3.002019609799212,185,21
0,2,19,2.9320141208326214,185,21
0,2,25,3.04963609616748,185,21
0,2,32,2.9213469484697088,185,21
0,3,1,2.8903867043965574,185,21
0,3,7,3.2011312409685435,185,21
0,3,13,3.0485599389594706,185,21
0,3,19,3.1648704029737282,185,21
0,3,25,3.0676803886883057,185,21
0,3,32,3.0329179210315482,185,21
0,4,1,3.772269610308505,185,21
0,4,7,3.5406578682499195,185,21
0,4,13,3.492433993786051,185,21
0,4,19,3.323656610966162,185,21
0,4,25,3.303947700713144,185,21
0,4,32,3.3381626749284936,185,21
0,5,1,4.100305017922445,185,21
0,5,7,3.604734355644237,185,21
0,5,13,3.6424749641261345,185,21
0,5,19,3.5869421544050035,185,21
0,5,25,3.5541486045652744,185,21
0,5,32,3.686275584354689,185,21
0,6,1,3.205198850305537,186,20
0,6,7,3.0206820307672153,186,20
0,6,13,3.0987904291029404,186,20
0,6,19,2.9421934274449035,186,20
0,6,25,3.1283689443542277,186,20
0,6,32,3.1752730130651714,186,20
0,7,1,2.965745623869305,186,20
0,7,7,2.621868425188413,186,20
0,7,13,2.5898022039337296,186,20
0,7,19,2.535245902175963,186,20
0,7,25,2.6654640912981713,186,20
0,7,32,2.753086700142224,186,20
0,8,1,3.0656582052635963,186,20
0,8,7,3.002936001149544,186,20
0,8,13,3.051202646908265,186,20
0,8,19,3.035722792433462,186,20
0,8,25,3.1426250595640672,186,20
0,8,32,3.193403582778103,186,20
0,9,1,3.669626809567965,186,20
0,9,7,3.6180942777241216,186,20
0,9,13,3.643008915512018,186,20
0,9,19,3.726328553616824,186,20
0,9,25,3.7288960112880565,186,20
0,9,32,3.721803633791019,186,20
1,0,1,3.84605457419578,228,26
1,0,7,3.423932303934034,228,26
1,0,13,3.4430916175616124,228,26
1,0,19,3.455281615540516,228,26
1,0,25,3.4040744539561554,228,26
1,0,32,3.3605207327139017,228,26
1,1,1,3.5602988882201254,228,26
1,1,7,3.330445374582337,228,26
1,1,13,3.4789383738212623,228,26
1,1,19,3.576415059751228,228,26
1,1,25,3.667998649494336,228,26
1,1,32,3.6380060688408777,228,26
1,2,1,3.644628715024968,228,26
1,2,7,3.3197493884212195,228,26
1,2,13,3.26059350868,228,26
1,2,19,3.1125623702740635,228,26
1,2,25,3.120333172546205,228,26
1,2,32,3.114034344272339,228,26
1,3,1,2.7528305699630455,228,26
1,3,7,2.7670754858208566,228,26
1,3,13,2.683724254722273,228,26
1,3,19,2.5972158879195133,228,26
1,3,25,2.6549038039939434,228,26
1,3,32,2.6454806700077467,228,26
1,4,1,4.308992185790093,229,25
1,4,7,3.9242268166353593,229,25
1,4,13,3.8484616926767017,229,25
1,4,19,3.8901879808564592,229,25
1,4,25,3.9017542044572817,229,25
1,4,32,3.769186044015341,229,25
1,5,1,3.5214345491574965,229,25
1,5,7,3.376110587110568,229,25
1,5,13,3.45496171805131,229,25
1,5,19,3.304440936315855,229,25
1,5,25,3.397023588143016,229,25
1,5,32,3.4169731343398184,229,25
1,6,1,2.1172606351604384,229,25
1,6,7,2.2318392852533,229,25
1,6,13,2.1587273858456406,229,25
1,6,19,2.2129283079214153,229,25
1,6,25,2.1686264167901244,229,25
1,6,32,2.222991405651396,229,25
1,7,1,2.959816087259474,229,25
1,7,7,2.718862162376016,229,25
1,7,13,2.675112074212961,229,25
1,7,19,2.8825313570540687,229,25
1,7,25,2.8480474633685424,229,25
1,7,32,2.905496886248545,229,25
1,8,1,2.6202652200874748,229,25
