variable,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,mean,sd
alcohol_admissions,0.011738368678393748,0.00930221797028386,0.011121732098014767,0.012198559109503184,0.007951268690800338,0.01058227504753533,0.00877267971481432,0.010066746965398983,0.012375506831061174,0.011847688344222673,0.010595704345002838,0.0015331968484201285
air_pollution,0.009016683169186801,0.013489899646240868,0.015611417468739714,0.01449487328257351,0.016444030762747107,0.012512899621702926,0.01926248643973779,0.018316618943877958,0.0173162729581162,0.014792248049025283,0.015125743034194816,0.0030073850007481993
asthma,0.006315381609984081,0.007870332564634337,0.008711066737603928,0.008882361028846254,0.007132307289699711,0.0104339920129385,0.008211806249515185,0.010402496483823331,0.008727817771974343,0.008596007918823395,0.008528356966784306,0.0012791630058583033
ave_wk_earn,0.012015791256059854,0.008664611033702516,0.010246099718111454,0.011641381440505433,0.009398737994644274,0.010965446120293997,0.007898188917008424,0.007844267489216907,0.009798545358470682,0.008532380227092429,0.009700544955510598,0.0015002788412838703
CHD,0.004085556630713849,0.0066423878487955525,0.009622731117657784,0.006589074684311834,0.004464214626535057,0.007700266185715181,0.005343506304238369,0.009918261598289074,0.007288834876882735,0.009919891583501251,0.007157472545664069,0.0021656783249513457
COPD,0.006880475685622597,0.005277951310008464,0.012729392491534902,0.005574008042222951,0.007664986549906069,0.011411133008833261,0.005982856202900622,0.012780752806904196,0.010365631739108894,0.0071169240549554605,0.008578411189199742,0.002955568089890825
depression,0.008323988282744223,0.012228356602952954,0.009651430027390434,0.009599881514487436,0.011933647678319064,0.008853176059814099,0.009022096445788342,0.008835849981614607,0.009716486073444077,0.009132022278613008,0.009729693494516824,0.001313393940106038
hypertension,0.0049330766945648065,0.003649194434352188,0.010437918054914072,0.00977739067863858,0.0066062835340210384,0.007877352744036894,0.007666430877322168,0.00947914786355302,0.009746205300301606,0.009285324424031197,0.007945832460573557,0.002269769322586963
loneliness,0.006830011685735783,0.011825510872132542,0.009394501358032771,0.011064732222147579,0.010362259287454606,0.006249237872335323,0.008672057870035969,0.011673754373050056,0.009872777497954044,0.007093230137070501,0.009303807317594916,0.0020348241963203226
obese,0.026093474823360892,0.026338892187411124,0.03522356746324237,0.013061117339817484,0.02177277810610075,0.02741882220864682,0.023445184502341183,0.032067812904331944,0.0295086268979512,0.03646303029862337,0.02713933067318271,0.0068689727978602675
five_a_day,0.0383564732471127,0.0886832412565448,0.11397587020799957,0.12154630318857178,0.10495857930667214,0.1305146879058247,0.13190939616994987,0.08506099476249734,0.12071955725498627,0.124097982718989,0.10598230860191482,0.028745649599713353
pop_density,0.011270823068836373,0.009483582427591744,0.021156678855040436,0.011139247307448785,0.010378855444766858,0.020212889724046893,0.012735041869689403,0.016366881693661246,0.02272744803766002,0.015513480592363762,0.015098492902110553,0.004859760321502038
smoking,0.025148363644039953,0.013621783801133687,0.05684880999879858,0.023202455202580498,0.030421036241801182,0.06634023322165977,0.024019420887477015,0.06411907152168016,0.0592112074953989,0.06258199003354468,0.04255143720481144,0.020867339456081452
stroke,0.009178969315226023,0.007503154979139591,0.009479493777455845,0.00985303144884187,0.008812157701269304,0.00850856143586978,0.007787320632052225,0.008778868789992846,0.009006876998418456,0.010201993608319675,0.008911042868658563,0.0008427561289519758
crime,0.008425431293628933,0.011378849442747222,0.0173468050489901,0.013141068869158818,0.01806414716291172,0.023394625158929802,0.012864755473982234,0.021071874501143853,0.019887913522127567,0.022884635872855802,0.016846010634647607,0.0051485498635129206
qual_none,0.1301667914878558,0.06887191400304114,0.11298072868813193,0.14453284376772213,0.12351341042083332,0.10909304748081883,0.10467327911581403,0.11853660319325271,0.10926668756331182,0.10340611571823276,0.11250414214390145,0.01990425172530725
qual_L1,0.023596385593853388,0.013054610362273476,0.015336334147751473,0.010181816469122959,0.013082165535985638,0.022645165098142347,0.015283367750202434,0.02257498800256386,0.01880795064742533,0.022947244393696765,0.017751002800101768,0.004973002622736452
qual_L2,0.007801064321600639,0.0066128300641355555,0.013684957209530302,0.008194662590424963,0.006962733897057386,0.009620950183235723,0.007006524633069714,0.011621966793185392,0.013137585023213409,0.008640368198448484,0.009328364291390157,0.0026095725373200423
qual_L3,0.01920875177010694,0.02564289701193591,0.022599415974918085,0.026001155692511,0.031758049083423494,0.022348166763356946,0.024851126358206622,0.024390073382506504,0.020035105647593077,0.02741939905475822,0.02442541407393168,0.003666921015898826
qual_L4,0.09908528473640821,0.04198624375317166,0.07720562438411532,0.051064559370096324,0.03234056111350498,0.06587203220951278,0.039725131212119666,0.08297411527710563,0.05941220639747779,0.06929884115887566,0.061896459961238805,0.021127350493908778
qual_other,0.014462147874527256,0.010326033849853599,0.012322488326846119,0.006805077245868159,0.01006540250564437,0.010793892450592885,0.007164901130084388,0.01608457214458495,0.014317206324282097,0.010493087194554098,0.011283480904683792,0.0030499738569970377
SEC_L1toL6,0.2155909553442588,0.15180521707557168,0.1264868919785309,0.18945785189980555,0.2180255204620605,0.11443620008866517,0.20738548113665786,0.12638287708889917,0.11413904740929262,0.1057258673586416,0.15694359098423838,0.04585291700339705
SEC_L7toL9,0.01125053526709097,0.0224051921659976,0.01659775997708958,0.01921128800752486,0.018187945807603825,0.015929542750694442,0.01751671958069345,0.016329592657535634,0.017173567515870687,0.017954644842789094,0.017255678857289014,0.002806447606784943
SEC_L10toL13,0.005373764892937074,0.007410602374771793,0.013911552622953717,0.008033740094226733,0.006602345347978055,0.015290167649410142,0.004883398996934961,0.011663118421321103,0.016378171330187125,0.008222248084081034,0.009776910981480175,0.004204398981459188
SEC_L14,0.212280865735248,0.32203500993663586,0.11149448199420581,0.15783492742118727,0.16206376968685124,0.12899340949492455,0.18092559825689677,0.11671007217243784,0.12502944154739065,0.14875805559344252,0.16661256318392204,0.06283641358602239
