variable,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,mean,sd
alcohol_admissions,0.005209614754773738,0.003649139118636043,0.010266490009219167,0.00971560278683084,0.005992480900344108,0.005273681639966158,0.005532394663982277,0.007228764366998386,0.0070029399385155055,0.006247640747580838,0.006611874892684706,0.002047744393817053
air_pollution,0.005052582888507907,0.005341099620227381,0.008249688463890358,0.008850994247346474,0.004523031275713444,0.009578298258176035,0.009128553893036429,0.008350804481411716,0.01009230041711087,0.005351025513718958,0.007451837905913956,0.002132045419108269
asthma,0.0035153832565383058,0.0031998682577161486,0.004287712999668937,0.004274234576066834,0.003712521108601678,0.0028666014312465856,0.0025672423332639836,0.0035097424886791724,0.003877951457262324,0.0031314099750893334,0.0034942667884133296,0.0005681465596063625
ave_wk_earn,0.004739093861627926,0.005548226045290585,0.0036112402423225504,0.004404727190625159,0.004493724796988134,0.0036107807910704865,0.005383161122430337,0.005438288805735417,0.007171697703462711,0.002959348501720106,0.0047360289061273405,0.0012184007448369422
CHD,0.001887500283550968,0.004892423665657927,0.004580419498720041,0.004846550620516473,0.0037286877186384513,0.0028035900260308857,0.0028199164029334327,0.0036460228415387554,0.00571442392033592,0.003963788542831121,0.003888332352075397,0.001161960896049969
COPD,0.003076954072791556,0.0026789294375707605,0.006423324393264306,0.006426648577251476,0.003835936151415351,0.00353353401101892,0.0037472381970738706,0.005575253565693936,0.005575211379701164,0.0024492571810360263,0.004332228696681736,0.0015249961948942687
depression,0.004122358604974414,0.005862152457057785,0.00733073196729583,0.005021019129089822,0.008489247440815615,0.006956160992556646,0.005215384190246071,0.004779825670145638,0.005759495044840235,0.004022959340459462,0.005755933483748152,0.0014475911814161796
hypertension,0.0038963694493471565,0.0019321778577748921,0.004179662691197667,0.0040755990303460886,0.00483587534252411,0.003391607743291755,0.004446843715546625,0.004540135455281332,0.005792870597123236,0.0034430938999514696,0.004053423578238433,0.0010209393570260483
loneliness,0.0034093832337810533,0.007610001983117877,0.005031890143585729,0.0031241908617094753,0.005202764660219065,0.004104035726352335,0.005623299601917876,0.006692060441123637,0.005836541493354231,0.004548547418039881,0.0051182715563201165,0.0014032111927915528
obese,0.025672119469703845,0.02301746323873112,0.024110562218160853,0.01425483850535487,0.023082205911828982,0.017759864667067304,0.02355719792351428,0.017568497125530658,0.02622550991008604,0.0277670831498745,0.022301534211985243,0.004350985149253801
five_a_day,0.034313075304541675,0.07908097877794136,0.09891615830438168,0.07336569927061252,0.09223969296124988,0.10217381439419067,0.0996576829682698,0.08272511235903707,0.10425436147474204,0.09584770391500107,0.08625742797299676,0.021011063927993553
pop_density,0.008780801867854456,0.0061336998587958515,0.011314689037280506,0.017443278846364894,0.009188850361787205,0.004625541162063913,0.006034742240684865,0.005885323864362106,0.01741220548279359,0.006213924070809968,0.009303305679279734,0.004716206806175427
smoking,0.0160691315567182,0.009078669568200028,0.018413494337283537,0.03208586776496245,0.021279990941086055,0.016185468350725898,0.024364446060037848,0.029080871721921225,0.02527830136129661,0.023248590002600576,0.021508483166483246,0.006804170467461786
stroke,0.004377958267582424,0.005292791072477452,0.005814238185680047,0.007000323807163314,0.0038032962154192036,0.003505818078923268,0.004245096175563375,0.00504915816009499,0.003638984029479531,0.0039257289736331635,0.0046653392966016765,0.0011185487821172265
crime,0.006718858000607124,0.007796584673864817,0.01553747601913044,0.012153772986853422,0.005880642615730344,0.00851420900597472,0.0053653881694417345,0.0055655737587750305,0.017004310727414474,0.011120063875083906,0.009565687983287602,0.004212051443693492
qual_none,0.128739980182516,0.0655251699376346,0.09373874429914193,0.0981226861069949,0.10295338495105374,0.08067223046870879,0.07518140880888075,0.0859658099088256,0.08627156318248223,0.07868389624722887,0.08958548740934674,0.01767188491712959
qual_L1,0.02403640929885336,0.009229721429756494,0.0139075434123361,0.014989518979200875,0.011985933789813845,0.009125747467597733,0.010510016547384475,0.01273554410039624,0.017485300560527224,0.010332164819477891,0.01343379004053442,0.004576034147594511
qual_L2,0.0060704091552604275,0.002760189378426704,0.004123813791486193,0.0038491263480032916,0.005047432623937487,0.002917704762897192,0.005401291493264439,0.0028917361978791655,0.006504935174731671,0.004723050041771716,0.004428968896765828,0.001344929580812522
qual_L3,0.013189966556937362,0.01483026982894836,0.012765661717028863,0.015168752158453565,0.018753503214512322,0.017290411503675735,0.014642673517325061,0.017345921062474838,0.014014638869824328,0.022516351961291498,0.016051815039047193,0.0029757334844263393
qual_L4,0.07551577187590287,0.03971855243840609,0.0667899260772803,0.06958364512881049,0.042719877531359154,0.03759188204416196,0.04531045137888833,0.03922857705097,0.04642090683576954,0.03939538559547799,0.05022749759570268,0.01449870012780469
qual_other,0.007321742231244272,0.00430320040417343,0.00977499524305937,0.008540583782344527,0.005112369683264995,0.003900558611956218,0.008252826093268741,0.007021480061453652,0.008717093271839137,0.0043053239350034425,0.00672501733176078,0.0021510590822397067
SEC_L1toL6,0.2297380462905572,0.15157036310945282,0.12337775451698241,0.14276562397225992,0.18744725367246617,0.18358008232206435,0.2036578200740996,0.23931567030537623,0.12380281689151594,0.18028390396055233,0.1765539335115327,0.04090689287710641
SEC_L7toL9,0.008085714231537953,0.017871512833664508,0.014072928110728347,0.017518791061214168,0.009395278515513302,0.009417389842091723,0.009522421270198797,0.008636493410134708,0.013212588007714578,0.008981677980439601,0.01167147952632377,0.00372615059662466
SEC_L10toL13,0.005605342268976717,0.004815569350497952,0.010226105003595228,0.012253736933246204,0.006331814599585721,0.006566750068132729,0.005030444030424358,0.010908769054220792,0.01179933025421664,0.00761905010542606,0.00811569116683224,0.0028961131481324643
SEC_L14,0.18381172511585886,0.31738644135437194,0.15148036143795007,0.125332481789229,0.15803923094483652,0.2673587289772176,0.19140599024143504,0.15723536232474797,0.14620405650406362,0.23308290836876694,0.19313372870584775,0.06118154383633263
SEC_L15,0.007915777645429776,0.0054806418723809215,0.009383385961095869,0.009607505679716313,0.009812670554989723,0.007688307810482133,0.01306367665331725,0.011134833371010202,0.010864135474322342,0.010630864574163937,0.009558179959690848,0.0021225898917808022
age45orOver,0.006676625995155492,0.012200820867598099,0.010335811833925276,0.012325270966612227,0.0077412133576311055,0.004268530207967787,0.0077640034570431605,0.0077460107953325336,0.010573015410835638,0.006103729168056744,0.008573503206015807,0.0026791465244517063
disabled,0.004774845955066162,0.005014504605512489,0.00669620254115598,0.006602898360454624,0.008538393743186745,0.006182592872847475,0.005768832679976191,0.006929238082204116,0.006175247480994808,0.006441490739853186,0.006312424706125178,0.0010521737550134296
ethnicityWhite,0.009993710886898544,0.003903151628675469,0.015419902417126595,0.013637960524740384,0.015279372782936505,0.013642796276059644,0.012062842239778427,0.016636407379149513,0.018052991585254582,0.00792528903415593,0.012655442475477558,0.004318719112617768
male,0.0026724175667268424,0.01308389211687483,0.009339091422148702,0.012410673637242953,0.007408189458091657,0.009510141526056191,0.008733022006668869,0.005373752982810435,0.006698437341424043,0.009920123340531268,0.00851497413985758,0.003131746381176481
good_health,0.0036487976118755386,0.0027542835496712926,0.008596013892190823,0.015270008935745785,0.0031697935461188283,0.002929493803027129,0.002408525582016068,0.004995536218982169,0.007119765957108445,0.003827219089399087,0.005471943818613516,0.003989810827873172
facilities_per1000,0.010423319044669936,0.01111210380414858,0.018479867345598363,0.018023696102084086,0.02024370003170308,0.010771596626185318,0.016461658456963228,0.019411026127171396,0.024118487446213643,0.024054986942907898,0.017310044192764554,0.005121413676674139
alcohol_admissions_lag,0.003181567072942432,0.004899545219012276,0.004533649268919093,0.0051662895592195605,0.00482992077509215,0.008541836843945024,0.006752194495949218,0.007191832031607624,0.003911724424668841,0.005677461863919477,0.005468602155527569,0.001614420831019939
air_pollution_lag,0.005193646159346922,0.00542823395531977,0.005326734988279491,0.005731765975937283,0.003257111091589215,0.003142926138134398,0.0056657001518867385,0.002907244134555819,0.006408796208140995,0.0023398776261019305,0.004540203642929256,0.0014575138700355158
asthma_lag,0.01011371935915568,0.010299354017375813,0.007578679404766513,0.0054567557155763835,0.009536642554160066,0.006447700312319177,0.008459469960037052,0.005995419242860819,0.007774197362785872,0.006339427865970941,0.007800136579500831,0.001757834369999447
ave_wk_earn_lag,0.0028632267352499386,0.0033864004675090934,0.005616131549366112,0.006229406723554193,0.0038691958869363817,0.002237879385549851,0.002874637760653195,0.0033100225436775597,0.003793495868565666,0.0025360416869508098,0.0036716438608012806,0.0013005649011361043
CHD_lag,0.0025803973571878595,0.0015785164868882223,0.004297699484375646,0.005079528908846522,0.0035098261028404507,0.0027248384659683007,0.0025362984574119414,0.003037154180146415,0.004160769805386919,0.003143268238931127,0.0032648297487983405,0.0010232707168643272
COPD_lag,0.003990121960620551,0.0031525740414319755,0.0053044091920118165,0.004769104386588898,0.003724021599363612,0.005269162379229735,0.0036532358773712103,0.004610458717250353,0.0040485418091511065,0.003559386955927755,0.004208101691894702,0.0007419575215019153
depression_lag,0.00605402983817012,0.0068751867418694835,0.00486779176992925,0.006919268860934408,0.0061984447535069955,0.00729018458975678,0.006575359760374548,0.004530397067825057,0.005639763421456969,0.005643062993336043,0.0060593489797159655,0.0009013879054454193
hypertension_lag,0.0024121796719264866,0.0010022593069439409,0.002526524786454421,0.0037629969536246456,0.002764685242107712,0.0021112010154263725,0.0028571025119863503,0.002487596833341146,0.0039247183967571105,0.0017429515368499158,0.0025592216255418097,0.0008668958869645007
loneliness_lag,0.003835270155621756,0.004774431129774504,0.006682870757231,0.004993026689309448,0.008744029555234794,0.003103356182158531,0.004296031109607185,0.005697518275751471,0.005457003451564194,0.005370304566668421,0.00529538418729213,0.0015744543326321118
obese_lag,0.0032473899603300545,0.003017892776184133,0.006444544542673558,0.0051375616226301945,0.003368919280468991,0.003505837446060008,0.004062593714415176,0.0038842876095084955,0.00421598108985675,0.004744761599728797,0.004162976964185615,0.0010432998149574346
five_a_day_lag,0.00923546244046977,0.006579621721087892,0.014921306737105016,0.013990008400449245,0.008968688142525357,0.0042212864468373565,0.004318565550698154,0.00635597282715916,0.015095040467858225,0.007957585651505719,0.00916435383856959,0.004157797852910721
active_lag,0.010537972417345378,0.007699218743171261,0.01483346258935405,0.00995480425857153,0.011553322884393593,0.007921415128305069,0.00842725795924057,0.004084871512655207,0.013487965389394493,0.005343706100552782,0.009384399698298393,0.003386252266198485
pop_density_lag,0.0025186022645595518,0.002859316671975379,0.00476680461372047,0.0059117217850820705,0.0030886284231579682,0.0018447553381160727,0.002618372493744644,0.003115632848443905,0.004240291158783907,0.00300001416394357,0.003396413976152754,0.0012165340276784162
smoking_lag,0.003947795839381944,0.004424394842871632,0.005846331197740486,0.006301727499844328,0.007922206754003689,0.006581107466453195,0.005406944091956998,0.006137573874072739,0.005750915686922847,0.004941757122911623,0.005726075437615948,0.0011374194970161064
stroke_lag,0.004384699226368816,0.005010686142172204,0.003707902793000973,0.00584835509049971,0.005142749757950696,0.002903501282140953,0.004625379478169326,0.0035226016912854726,0.004355160499999198,0.0025582061666665967,0.004205924212825394,0.0010316800214764366
crime_lag,0.002985727646429103,0.00417911233900159,0.00543355549435584,0.004998780319276727,0.003677491836584908,0.00434032213604847,0.003448809104123173,0.0035195825458282557,0.004067186466092227,0.004612544888087929,0.004126311277582823,0.0007518936092885083
qual_none_lag,0.003685007019964001,0.0049347494296521945,0.008500033281078683,0.0062599274167674315,0.0047624907359477935,0.0039654986862727995,0.004797115620993472,0.005136775879236037,0.011931776284860382,0.0036363715269439327,0.005760974588171672,0.0026007641912652105
qual_L1_lag,0.0028252809855354136,0.001749710766349607,0.005398397988853991,0.004753969100902694,0.002873587573784368,0.002282952225179841,0.003603306700549659,0.0030952689025729877,0.00416620411190264,0.0029440391892386684,0.003369271754486987,0.0011217650045848083
qual_L2_lag,0.004118308337791063,0.007530819350717858,0.005529202406730814,0.0059032214549207184,0.006156660259961231,0.003967548614674628,0.0037273615883443795,0.006361872932516486,0.0035491339090992827,0.004582937071276592,0.005142706592603305,0.0013429535597492307
qual_L3_lag,0.006675315454461239,0.0062761029281570326,0.004700826899982071,0.006296269329237619,0.0055024414085184745,0.004501108575410858,0.007262164770125939,0.0059973124980280445,0.006444012748370813,0.00867397563374752,0.006232953024603962,0.0012110527618277671
qual_L4_lag,0.0019283377240886719,0.0017198257242629288,0.00424915691262593,0.004989509475652019,0.00229765630508903,0.0019744620652343676,0.0027897712900283944,0.003477296898480536,0.00392870128194399,0.0027426198597048247,0.003009733753711069,0.001108084105574944
qual_other_lag,0.003350935473054534,0.0025887050588224224,0.0036467546340379427,0.0030345511347180222,0.0043477371447474215,0.0026210578032296503,0.0038987816796112918,0.0030924919874756717,0.003828976770821217,0.0017520858001227931,0.003216207748664097,0.0007648670820342046
SEC_L1toL6_lag,0.002635350571443754,0.0018566126773131625,0.003917453110459138,0.004520114346774357,0.00393979992218913,0.0031080926648887784,0.0027165577171866418,0.0038757189190179405,0.006028303057991069,0.003222863727721581,0.0035820866714985564,0.0011627047683053008
SEC_L7toL9_lag,0.005036948890497092,0.005202029745953985,0.005477313477713277,0.004050164710963984,0.0070509971854962675,0.00461693016005937,0.003923962856738502,0.003998905264363988,0.005114298561314659,0.00400129355514755,0.004847284440824867,0.0009696983113670521
SEC_L10toL13_lag,0.0014815240675191358,0.0029804761908804756,0.0034812767292225146,0.004184250298693386,0.0028216834272075863,0.0017557543946957262,0.0024850751005136033,0.0026642183956434957,0.003852037310892872,0.0018077399273187566,0.0027514035842587554,0.000908449053298404
SEC_L14_lag,0.0036399196323695336,0.004669775019491802,0.010707498281164327,0.008158482026410363,0.0055291067373298705,0.0024093212573776143,0.008434359875783016,0.004449062152372669,0.010460031609963593,0.009252807434520487,0.0067710364026783276,0.0029839005029009503
SEC_L15_lag,0.0038272544155625787,0.0031803002831127087,0.004068227537765146,0.005392900102253078,0.0042033708902585775,0.00414267058947018,0.0036760858105822913,0.003820859865669286,0.0036571882037074897,0.003495713660849624,0.003946457135923095,0.0005952083498058813
age45orOver_lag,0.004166524372075163,0.007047831421619961,0.004329442837333159,0.009341241066617028,0.007772741806029271,0.0021872036296543573,0.0052069380047677204,0.006128343291029818,0.004404099338847032,0.002311822171657875,0.0052896187939631386,0.0023056169504868883
disabled_lag,0.003958670755903851,0.004543710525366248,0.003573971126650079,0.006511511748245396,0.004455806435179198,0.0043741332562952494,0.004255146343833559,0.004598949350071859,0.003893856807820262,0.0027761431373259948,0.00429418994866917,0.0009546209849076646
ethnicityWhite_lag,0.009081767319252487,0.006870394471915349,0.007722765954040221,0.0072928813928641745,0.011807788469893879,0.004384718572375125,0.009406531430637589,0.009836389164044624,0.008083640428179066,0.0055086026539625755,0.00799954798571651,0.0021642891493091595
male_lag,0.0037826901754251345,0.005109575434851032,0.005961820223846836,0.00674661849169429,0.006749650213320546,0.006183061543977669,0.006479140784986127,0.0052740880536721645,0.006439760502452418,0.004205704675459011,0.0056932110099685235,0.0010589259136732762
good_health_lag,0.0018010798024436002,0.002020145836871342,0.005017246353233835,0.005720080976879132,0.0051570827464945766,0.003772287951131168,0.004546010747983402,0.005081155273148941,0.002850639347462823,0.002851881961678598,0.0038817610997327417,0.001418358187711355
facilities_per1000_lag,0.001861490111138353,0.0038778963888180694,0.004454325542066247,0.0035468955090137144,0.004147152695273637,0.0032679359838379074,0.0033472450108334613,0.0035755216972174625,0.006363373030628335,0.003655457973335258,0.003809729394216245,0.001130678459806594
