cluster,train_n,test_n,test_mtry,best_tune_rmse,train_rmse,test_rmse,train_Rsquared,test_Rsquared
0,206,84,39,3.180168464426356,1.1156901081950488,3.2552647364180136,0.9546835612069715,0.6540173070830062
1,254,41,65,3.113037110590562,1.1604751138232778,2.802414463088364,0.9516607644353784,0.6871508907995776
2,262,27,13,3.1303613806052066,1.1481684119893152,2.771891785338962,0.9521005768291293,0.737550256826685
3,262,32,13,3.1303613806052066,1.1753459387778242,2.425215564967885,0.947571533774858,0.5837591918987187
4,276,18,26,3.093727247886597,1.1472683578042402,2.5249466294689618,0.9534947131456535,0.3307511663379896
5,273,24,39,3.067861148146495,1.0878888492297347,3.851940142155641,0.9588235090753521,0.4525868122720632
6,279,20,26,3.0925904838183826,1.128735296724474,2.7127821784101958,0.9553906608809907,0.6568495414547717
7,292,12,26,2.996720613740742,1.1329393667202046,3.6295721615409917,0.9537036942208452,0.15435769124400978
8,269,22,13,3.112779678758298,1.1456537524090415,2.8704855914825806,0.9545702401611773,0.5293655301958847
9,257,27,26,3.146095878787019,1.1177426391933047,3.2451863076117955,0.9584059714620402,0.49672058404085007
