cluster,train_n,test_n,test_mtry,best_tune_rmse,train_rmse,test_rmse,train_Rsquared,test_Rsquared
0,206,84,25,2.9560849086563374,1.1021585011909907,3.4431457218861374,0.955776132743459,0.6129272889273348
1,254,41,32,3.158579105831777,1.1663858987501314,2.9585623806990835,0.9511670865021936,0.6513162943705351
2,262,27,7,3.1189394226920006,1.1584803279092248,2.714555385325561,0.9512363257665979,0.7482954748624271
3,262,32,19,3.118191104168753,1.205746013964319,2.4292801859553044,0.944824357319509,0.5823627973559377
4,276,18,19,3.0875346260717302,1.1630582422610258,2.115959692826556,0.9522057971108201,0.529999847845505
5,273,24,7,2.932015573303109,1.106561060023554,3.9564238800651825,0.957397895914045,0.42248691944924444
6,279,20,19,3.1139007313920115,1.1202822234665017,2.7819241746496175,0.9560563156511072,0.6391345422057881
7,292,12,7,2.970596865366009,1.1451991307072324,3.524077686549118,0.9526963097884454,0.20280093621154716
8,269,22,7,3.0369569763350706,1.1641318802639329,2.8966476752524524,0.9530929584525007,0.5207475536295842
9,257,27,7,2.9839227335589475,1.1271762608549818,3.1806238087776015,0.957700910840626,0.5165467217031056
