cluster,fold,mtry,rmse,train_n,test_n
0,0,1,4.191451769631,185,21
0,0,13,3.6276446949580214,185,21
0,0,26,3.6099766621063227,185,21
0,0,39,3.447071008427707,185,21
0,0,52,3.4487271799068857,185,21
0,0,65,3.499086831282852,185,21
0,1,1,3.9959283120148434,185,21
0,1,13,3.1354748896033717,185,21
0,1,26,3.1520635159481456,185,21
0,1,39,2.9000566741588503,185,21
0,1,52,3.065532629708823,185,21
0,1,65,2.993721646490646,185,21
0,2,1,3.543856191858162,185,21
0,2,13,3.1737769638382733,185,21
0,2,26,3.245710617326899,185,21
0,2,39,3.08094380429732,185,21
0,2,52,3.0824597012775303,185,21
0,2,65,3.07370213407995,185,21
0,3,1,2.792292458076085,185,21
0,3,13,2.9157980662002636,185,21
0,3,26,2.8982203212447923,185,21
0,3,39,2.9192158994529755,185,21
0,3,52,2.9704372952078884,185,21
0,3,65,3.0561209252907537,185,21
0,4,1,4.421394897271568,185,21
0,4,13,3.576626514441999,185,21
0,4,26,3.4040819642781543,185,21
0,4,39,3.1370329222432685,185,21
0,4,52,3.216035105825929,185,21
0,4,65,3.224362530426605,185,21
0,5,1,4.334694830857961,185,21
0,5,13,3.621960628812342,185,21
0,5,26,3.596992657696675,185,21
0,5,39,3.6602190746950987,185,21
0,5,52,3.5480043835534216,185,21
0,5,65,3.649676888894863,185,21
0,6,1,3.4138012758507172,186,20
0,6,13,3.1964097193570082,186,20
0,6,26,3.4243430486737143,186,20
0,6,39,3.379473910315034,186,20
0,6,52,3.5280533477400775,186,20
0,6,65,3.581379677442758,186,20
0,7,1,3.2026129402411394,186,20
0,7,13,2.48815248407327,186,20
0,7,26,2.5865373496240154,186,20
0,7,39,2.7159290276993575,186,20
0,7,52,2.600650451329437,186,20
0,7,65,2.5866812799415393,186,20
0,8,1,3.64733454107244,186,20
0,8,13,3.142152007860224,186,20
0,8,26,3.030122860132909,186,20
0,8,39,2.9803776774093604,186,20
0,8,52,3.165591657415727,186,20
0,8,65,3.1869012075996443,186,20
0,9,1,3.976931425295135,186,20
0,9,13,3.612882674887194,186,20
0,9,26,3.619740775870565,186,20
0,9,39,3.581364645564592,186,20
0,9,52,3.5826331758917305,186,20
0,9,65,3.635266560446429,186,20
1,0,1,4.3084434544276,228,26
1,0,13,3.3881947603747253,228,26
1,0,26,3.3729321428668886,228,26
1,0,39,3.251424768821767,228,26
1,0,52,3.2570074485637845,228,26
1,0,65,3.2865974130374753,228,26
1,1,1,3.755942799597206,228,26
1,1,13,3.460690956742149,228,26
1,1,26,3.574185438777514,228,26
1,1,39,3.6016096361424035,228,26
1,1,52,3.6369626792674947,228,26
1,1,65,3.5845213239062237,228,26
1,2,1,4.521448403911151,228,26
1,2,13,3.487345627848912,228,26
1,2,26,3.4263336951863272,228,26
1,2,39,3.3544009751255213,228,26
1,2,52,3.139256412506241,228,26
1,2,65,3.176224397892761,228,26
1,3,1,2.852187673995584,228,26
1,3,13,2.6459214910732127,228,26
1,3,26,2.6530966510852902,228,26
1,3,39,2.6861932582688874,228,26
1,3,52,2.695931745098669,228,26
1,3,65,2.6535551321981883,228,26
1,4,1,4.779384014452078,229,25
1,4,13,3.885325869061706,229,25
1,4,26,3.7950207614715468,229,25
1,4,39,3.8353671526465476,229,25
1,4,52,3.679901510855971,229,25
1,4,65,3.676049615497595,229,25
1,5,1,3.7421250607642698,229,25
1,5,13,3.4867320924326877,229,25
1,5,26,3.3065635664236117,229,25
1,5,39,3.3439719494636955,229,25
1,5,52,3.414130769903231,229,25
1,5,65,3.437058510179893,229,25
1,6,1,2.5034532849645843,229,25
1,6,13,2.277609567594924,229,25
1,6,26,2.402539108609877,229,25
1,6,39,2.3695412195612815,229,25
1,6,52,2.4235840957557,229,25
1,6,65,2.3714912550545053,229,25
1,7,1,3.081901589214029,229,25
1,7,13,2.6906605212103476,229,25
1,7,26,2.805328059247258,229,25
1,7,39,2.7760559405746856,229,25
1,7,52,2.8727961789169787,229,25
1,7,65,2.843511862327988,229,25
1,8,1,2.926822456931755,229,25
1,8,13,2.6273539724978123,229,25
1,8,26,2.5802646432488316,229,25
1,8,39,2.527709395955166,229,25
1,8,52,2.5534842957026394,229,25
1,8,65,2.5360923752891997,229,25
1,9,1,3.6798997026006064,229,25
1,9,13,3.496766563898717,229,25
1,9,26,3.434311670946597,229,25
1,9,39,3.479687851460244,229,25
1,9,52,3.627160237265509,229,25
1,9,65,3.5652692205217895,229,25
2,0,1,5.203273919334791,235,27
2,0,13,4.109694264333567,235,27
2,0,26,4.008695132528234,235,27
2,0,39,3.9596762146904334,235,27
2,0,52,3.9299592418958933,235,27
2,0,65,3.893857642445292,235,27
2,1,1,2.826028989261818,235,27
2,1,13,2.4810390069634294,235,27
2,1,26,2.6784679559612283,235,27
2,1,39,2.585401190874987,235,27
2,1,52,2.742754214221468,235,27
2,1,65,2.562176365615477,235,27
2,2,1,3.83379623114258,236,26
2,2,13,2.73556725491329,236,26
2,2,26,2.7142901202567,236,26
2,2,39,2.5301993461294425,236,26
2,2,52,2.6496034995099516,236,26
2,2,65,2.586439908742995,236,26
2,3,1,3.523170222093471,236,26
2,3,13,3.1105896694876196,236,26
2,3,26,3.1347886365995747,236,26
2,3,39,3.201054549555625,236,26
2,3,52,3.145019855996993,236,26
2,3,65,3.1560340894619845,236,26
2,4,1,4.256148274961945,236,26
2,4,13,3.5636683831951363,236,26
2,4,26,3.516736566980605,236,26
2,4,39,3.4694033671290168,236,26
2,4,52,3.5312560784971514,236,26
2,4,65,3.451780001958858,236,26
2,5,1,3.6137688100247516,236,26
2,5,13,3.4495562139320146,236,26
2,5,26,3.385459513180544,236,26
2,5,39,3.441782974094865,236,26
2,5,52,3.539098765385602,236,26
2,5,65,3.58011551946195,236,26
2,6,1,2.332301620304911,236,26
2,6,13,2.1584405513810507,236,26
2,6,26,2.1641280015107767,236,26
2,6,39,2.0385334342836483,236,26
2,6,52,2.205535311786787,236,26
2,6,65,2.1204241510567114,236,26
2,7,1,3.4372118088424797,236,26
2,7,13,3.5496861336331853,236,26
2,7,26,3.6362480419647234,236,26
2,7,39,3.7873051639655344,236,26
2,7,52,3.703302705538146,236,26
2,7,65,3.89511203230802,236,26
2,8,1,3.4970415692850527,236,26
2,8,13,3.0250496115448553,236,26
2,8,26,3.097290176664353,236,26
2,8,39,3.2258358393302795,236,26
2,8,52,3.073926332133645,236,26
2,8,65,3.074032322599201,236,26
2,9,1,3.6185101017067582,236,26
2,9,13,3.120322716667917,236,26
2,9,26,3.241464735151498,236,26
2,9,39,3.2835647407844832,236,26
2,9,52,3.3755445621638387,236,26
2,9,65,3.4547203214754463,236,26
3,0,1,5.203273919334791,235,27
3,0,13,4.109694264333567,235,27
3,0,26,4.008695132528234,235,27
3,0,39,3.9596762146904334,235,27
3,0,52,3.9299592418958933,235,27
3,0,65,3.893857642445292,235,27
3,1,1,2.826028989261818,235,27
3,1,13,2.4810390069634294,235,27
3,1,26,2.6784679559612283,235,27
3,1,39,2.585401190874987,235,27
3,1,52,2.742754214221468,235,27
3,1,65,2.562176365615477,235,27
3,2,1,3.83379623114258,236,26
3,2,13,2.73556725491329,236,26
3,2,26,2.7142901202567,236,26
3,2,39,2.5301993461294425,236,26
3,2,52,2.6496034995099516,236,26
3,2,65,2.586439908742995,236,26
3,3,1,3.523170222093471,236,26
3,3,13,3.1105896694876196,236,26
3,3,26,3.1347886365995747,236,26
3,3,39,3.201054549555625,236,26
3,3,52,3.145019855996993,236,26
3,3,65,3.1560340894619845,236,26
3,4,1,4.256148274961945,236,26
3,4,13,3.5636683831951363,236,26
3,4,26,3.516736566980605,236,26
3,4,39,3.4694033671290168,236,26
3,4,52,3.5312560784971514,236,26
3,4,65,3.451780001958858,236,26
3,5,1,3.6137688100247516,236,26
3,5,13,3.4495562139320146,236,26
3,5,26,3.385459513180544,236,26
