cluster,fold,mtry,rmse,train_n,test_n
0,0,1,2.678910686641116,176,20
0,0,7,2.3104449112670866,176,20
0,0,13,2.0957553394897834,176,20
0,0,19,2.1831525975066377,176,20
0,0,25,2.0659191539118824,176,20
0,0,32,2.2380224644761655,176,20
0,1,1,2.789053656075942,171,17
0,1,7,2.716978493279095,171,17
0,1,13,2.951491433655391,171,17
0,1,19,2.89158963771507,171,17
0,1,25,2.7865461034173826,171,17
0,1,32,2.7490714497594193,171,17
0,2,1,4.267674012920331,184,18
0,2,7,4.092497265593327,184,18
0,2,13,4.113900224307291,184,18
0,2,19,3.9968246062065083,184,18
0,2,25,3.9419298406857664,184,18
0,2,32,3.924606691192831,184,18
0,3,1,4.0068642862224655,151,39
0,3,7,3.64640819092868,151,39
0,3,13,3.531938318384365,151,39
0,3,19,3.5383857820067743,151,39
0,3,25,3.5561649734596905,151,39
0,3,32,3.520148862309727,151,39
0,4,1,2.3269348490703767,181,22
0,4,7,2.1435218676917525,181,22
0,4,13,2.1756648022657736,181,22
0,4,19,2.1344001219205726,181,22
0,4,25,2.0881503209125722,181,22
0,4,32,1.99016261829851,181,22
0,5,1,3.107662953792603,183,16
0,5,7,2.9838320136403453,183,16
0,5,13,3.1228883074207174,183,16
0,5,19,3.1999013951604836,183,16
0,5,25,3.294870840127872,183,16
0,5,32,3.32567138024415,183,16
0,6,1,2.8127433645184965,160,28
0,6,7,2.891391450001685,160,28
0,6,13,2.844860331244003,160,28
0,6,19,2.873903411054641,160,28
0,6,25,2.737746649945119,160,28
0,6,32,2.9302400230795334,160,28
0,7,1,2.6889565626699743,167,27
0,7,7,2.2888874585216654,167,27
0,7,13,2.3359851563613816,167,27
0,7,19,2.2835732449792716,167,27
0,7,25,2.336710538421558,167,27
0,7,32,2.3580696030000037,167,27
0,8,1,4.393544199637316,191,12
0,8,7,3.775078070826269,191,12
0,8,13,3.5003951670966207,191,12
0,8,19,3.9296945415642712,191,12
0,8,25,3.592363303360813,191,12
0,8,32,3.753357684238663,191,12
0,9,1,3.69021836481258,193,7
0,9,7,3.355445000081422,193,7
0,9,13,3.0338078628303813,193,7
0,9,19,3.2437109506595285,193,7
0,9,25,3.1604473623207197,193,7
0,9,32,3.167816587403468,193,7
1,0,1,3.0812862006611077,216,26
1,0,7,2.969512788061629,216,26
1,0,13,3.055712004590748,216,26
1,0,19,3.0223719176908324,216,26
1,0,25,3.111474601189308,216,26
1,0,32,3.0692947643993445,216,26
1,1,1,3.84153456063532,204,36
1,1,7,3.4764440989401226,204,36
1,1,13,3.431884853149621,204,36
1,1,19,3.3691391405421944,204,36
1,1,25,3.3973267489961065,204,36
1,1,32,3.3525084919106978,204,36
1,2,1,3.1277952230764656,236,16
1,2,7,2.952136179319977,236,16
1,2,13,2.9704963304766085,236,16
1,2,19,3.0050399126925043,236,16
1,2,25,2.883188160808278,236,16
1,2,32,2.914106131281933,236,16
1,3,1,4.258077737665215,236,14
1,3,7,3.812826400735146,236,14
1,3,13,3.7718191515690234,236,14
1,3,19,3.7952350170029963,236,14
1,3,25,3.7067068473434572,236,14
1,3,32,3.8248572690456637,236,14
1,4,1,3.427696389705474,226,13
1,4,7,3.3401360826722595,226,13
1,4,13,3.103881235584787,226,13
1,4,19,3.1466500260044494,226,13
1,4,25,3.295391011000739,226,13
1,4,32,3.2776933567326383,226,13
1,5,1,2.826056818719607,222,19
1,5,7,2.373660614347647,222,19
1,5,13,2.396974526685452,222,19
1,5,19,2.466694456149763,222,19
1,5,25,2.2877371821817407,222,19
1,5,32,2.2812658599304414,222,19
1,6,1,2.3018576664377997,214,26
1,6,7,2.1070687167064803,214,26
1,6,13,2.162940347607338,214,26
1,6,19,2.218605750500497,214,26
1,6,25,2.2295036394815724,214,26
1,6,32,2.1567633722423487,214,26
1,7,1,2.583221859128296,220,23
1,7,7,2.7444894651551928,220,23
1,7,13,2.9262990129246025,220,23
1,7,19,3.0228039063958034,220,23
1,7,25,3.156431021911764,220,23
1,7,32,3.0302653912329807,220,23
1,8,1,4.268060256893124,229,17
1,8,7,4.331952677895894,229,17
1,8,13,4.37324968893438,229,17
1,8,19,4.289180032840498,229,17
1,8,25,4.431485408116898,229,17
1,8,32,4.403828839904719,229,17
1,9,1,4.108067471014357,166,64
1,9,7,3.7756738535574668,166,64
1,9,13,3.581871971382416,166,64
1,9,19,3.3680203811688503,166,64
1,9,25,3.264152297903124,166,64
1,9,32,3.275207581637004,166,64
2,0,1,4.3623822828816845,233,20
2,0,7,4.1847671356361,233,20
2,0,13,4.150339003503213,233,20
2,0,19,4.118071576903444,233,20
2,0,25,4.170590442791042,233,20
2,0,32,4.211675959223361,233,20
2,1,1,2.9821724616220857,218,35
2,1,7,2.525277944023476,218,35
2,1,13,2.527337399376215,218,35
2,1,19,2.559433912745997,218,35
2,1,25,2.6548649456099667,218,35
2,1,32,2.598025300712615,218,35
2,2,1,2.744425359023265,239,16
2,2,7,2.1634778136139983,239,16
2,2,13,2.246795371189815,239,16
2,2,19,2.25184248450019,239,16
2,2,25,2.2204514988510793,239,16
2,2,32,2.116228621421845,239,16
2,3,1,3.859815502391267,214,36
2,3,7,3.3884908331979595,214,36
2,3,13,3.3622775706274455,214,36
2,3,19,3.352779431680525,214,36
2,3,25,3.299746366221023,214,36
2,3,32,3.2655233519639983,214,36
2,4,1,4.369305166060929,246,12
2,4,7,3.732264121258469,246,12
2,4,13,3.644599028928511,246,12
2,4,19,3.6527215735895635,246,12
2,4,25,3.6590482333752723,246,12
2,4,32,3.7528003697239334,246,12
2,5,1,3.1717501503439602,222,29
2,5,7,2.964848103104574,222,29
2,5,13,3.219114454318152,222,29
2,5,19,3.202739064968597,222,29
2,5,25,3.188013161072649,222,29
2,5,32,3.268412701961748,222,29
2,6,1,3.0299389435886295,231,16
2,6,7,2.606047631471837,231,16
2,6,13,2.5885843400640813,231,16
2,6,19,2.481350080853156,231,16
2,6,25,2.4960992940235758,231,16
2,6,32,2.5110497737500084,231,16
