"mtry",".metric",".estimator",".estimate",".config","cluster","fold","train_n","test_n"
1,"rmse","standard",0.24425945105851,"Preprocessor1_Model1",1,1,10686,2672
2,"rmse","standard",0.22309404925046,"Preprocessor1_Model2",1,1,10686,2672
3,"rmse","standard",0.218276270431714,"Preprocessor1_Model3",1,1,10686,2672
4,"rmse","standard",0.216139791340761,"Preprocessor1_Model4",1,1,10686,2672
5,"rmse","standard",0.215871149582042,"Preprocessor1_Model5",1,1,10686,2672
6,"rmse","standard",0.215706013616839,"Preprocessor1_Model6",1,1,10686,2672
1,"rmse","standard",0.24669856546534,"Preprocessor1_Model1",1,2,10686,2672
2,"rmse","standard",0.229096993895534,"Preprocessor1_Model2",1,2,10686,2672
3,"rmse","standard",0.225187276698661,"Preprocessor1_Model3",1,2,10686,2672
4,"rmse","standard",0.224920183106262,"Preprocessor1_Model4",1,2,10686,2672
5,"rmse","standard",0.224521741848497,"Preprocessor1_Model5",1,2,10686,2672
6,"rmse","standard",0.224891806283878,"Preprocessor1_Model6",1,2,10686,2672
1,"rmse","standard",0.236574335418847,"Preprocessor1_Model1",1,3,10686,2672
2,"rmse","standard",0.217203084290192,"Preprocessor1_Model2",1,3,10686,2672
3,"rmse","standard",0.213535944927922,"Preprocessor1_Model3",1,3,10686,2672
4,"rmse","standard",0.211861398096643,"Preprocessor1_Model4",1,3,10686,2672
5,"rmse","standard",0.211241290079909,"Preprocessor1_Model5",1,3,10686,2672
6,"rmse","standard",0.211433533928223,"Preprocessor1_Model6",1,3,10686,2672
1,"rmse","standard",0.236507213118441,"Preprocessor1_Model1",1,4,10687,2671
2,"rmse","standard",0.21773115366988,"Preprocessor1_Model2",1,4,10687,2671
3,"rmse","standard",0.214541348873191,"Preprocessor1_Model3",1,4,10687,2671
4,"rmse","standard",0.213778257521135,"Preprocessor1_Model4",1,4,10687,2671
5,"rmse","standard",0.213600220217773,"Preprocessor1_Model5",1,4,10687,2671
6,"rmse","standard",0.214272011313447,"Preprocessor1_Model6",1,4,10687,2671
1,"rmse","standard",0.240927414985875,"Preprocessor1_Model1",1,5,10687,2671
2,"rmse","standard",0.224045080163614,"Preprocessor1_Model2",1,5,10687,2671
