"mtry",".metric",".estimator",".estimate",".config","cluster","fold","train_n","test_n"
1,"rmse","standard",0.292352873394216,"Preprocessor1_Model1",1,1,10686,2672
2,"rmse","standard",0.261449032090838,"Preprocessor1_Model2",1,1,10686,2672
3,"rmse","standard",0.252343075617423,"Preprocessor1_Model3",1,1,10686,2672
4,"rmse","standard",0.248827900147105,"Preprocessor1_Model4",1,1,10686,2672
5,"rmse","standard",0.246967904396379,"Preprocessor1_Model5",1,1,10686,2672
6,"rmse","standard",0.246914009039198,"Preprocessor1_Model6",1,1,10686,2672
1,"rmse","standard",0.295295144620359,"Preprocessor1_Model1",1,2,10686,2672
2,"rmse","standard",0.266010832646266,"Preprocessor1_Model2",1,2,10686,2672
3,"rmse","standard",0.257056685111483,"Preprocessor1_Model3",1,2,10686,2672
4,"rmse","standard",0.254377354209593,"Preprocessor1_Model4",1,2,10686,2672
5,"rmse","standard",0.253795966857055,"Preprocessor1_Model5",1,2,10686,2672
6,"rmse","standard",0.253504998797758,"Preprocessor1_Model6",1,2,10686,2672
1,"rmse","standard",0.29275310615994,"Preprocessor1_Model1",1,3,10686,2672
2,"rmse","standard",0.25960079546391,"Preprocessor1_Model2",1,3,10686,2672
3,"rmse","standard",0.250727991072077,"Preprocessor1_Model3",1,3,10686,2672
4,"rmse","standard",0.247530725752675,"Preprocessor1_Model4",1,3,10686,2672
5,"rmse","standard",0.246807289644065,"Preprocessor1_Model5",1,3,10686,2672
6,"rmse","standard",0.246838250889888,"Preprocessor1_Model6",1,3,10686,2672
1,"rmse","standard",0.281419405373223,"Preprocessor1_Model1",1,4,10687,2671
2,"rmse","standard",0.251713082901792,"Preprocessor1_Model2",1,4,10687,2671
3,"rmse","standard",0.244693511522918,"Preprocessor1_Model3",1,4,10687,2671
4,"rmse","standard",0.242741853132886,"Preprocessor1_Model4",1,4,10687,2671
5,"rmse","standard",0.241471811714753,"Preprocessor1_Model5",1,4,10687,2671
6,"rmse","standard",0.241964763118631,"Preprocessor1_Model6",1,4,10687,2671
1,"rmse","standard",0.292046492891748,"Preprocessor1_Model1",1,5,10687,2671
2,"rmse","standard",0.26469754149805,"Preprocessor1_Model2",1,5,10687,2671
3,"rmse","standard",0.258518564650756,"Preprocessor1_Model3",1,5,10687,2671
4,"rmse","standard",0.257316053751272,"Preprocessor1_Model4",1,5,10687,2671
5,"rmse","standard",0.257278868550127,"Preprocessor1_Model5",1,5,10687,2671
6,"rmse","standard",0.257015030725708,"Preprocessor1_Model6",1,5,10687,2671
1,"rmse","standard",0.307638791287535,"Preprocessor1_Model1",2,1,10752,2688
2,"rmse","standard",0.276182097032161,"Preprocessor1_Model2",2,1,10752,2688
3,"rmse","standard",0.26765439594019,"Preprocessor1_Model3",2,1,10752,2688
4,"rmse","standard",0.264580855286416,"Preprocessor1_Model4",2,1,10752,2688
5,"rmse","standard",0.264518199507211,"Preprocessor1_Model5",2,1,10752,2688
6,"rmse","standard",0.262846913715559,"Preprocessor1_Model6",2,1,10752,2688
1,"rmse","standard",0.305565161089288,"Preprocessor1_Model1",2,2,10752,2688
2,"rmse","standard",0.274226454635899,"Preprocessor1_Model2",2,2,10752,2688
3,"rmse","standard",0.267236583852674,"Preprocessor1_Model3",2,2,10752,2688
4,"rmse","standard",0.264147572056137,"Preprocessor1_Model4",2,2,10752,2688
5,"rmse","standard",0.26400122953066,"Preprocessor1_Model5",2,2,10752,2688
