"mtry",".metric",".estimator",".estimate",".config","cluster","fold","train_n","test_n"
1,"rmse","standard",0.230777907253353,"Preprocessor1_Model1",1,1,10686,2672
2,"rmse","standard",0.215158387416649,"Preprocessor1_Model2",1,1,10686,2672
3,"rmse","standard",0.213050777587117,"Preprocessor1_Model3",1,1,10686,2672
4,"rmse","standard",0.213115181202082,"Preprocessor1_Model4",1,1,10686,2672
5,"rmse","standard",0.212898326580348,"Preprocessor1_Model5",1,1,10686,2672
6,"rmse","standard",0.213072006107544,"Preprocessor1_Model6",1,1,10686,2672
1,"rmse","standard",0.236027436098444,"Preprocessor1_Model1",1,2,10686,2672
2,"rmse","standard",0.222331757047355,"Preprocessor1_Model2",1,2,10686,2672
3,"rmse","standard",0.220222768180515,"Preprocessor1_Model3",1,2,10686,2672
4,"rmse","standard",0.220529349826262,"Preprocessor1_Model4",1,2,10686,2672
5,"rmse","standard",0.221257284150483,"Preprocessor1_Model5",1,2,10686,2672
6,"rmse","standard",0.221631757530794,"Preprocessor1_Model6",1,2,10686,2672
1,"rmse","standard",0.224201203453282,"Preprocessor1_Model1",1,3,10686,2672
2,"rmse","standard",0.209236013782852,"Preprocessor1_Model2",1,3,10686,2672
3,"rmse","standard",0.206727381437368,"Preprocessor1_Model3",1,3,10686,2672
4,"rmse","standard",0.206621410143877,"Preprocessor1_Model4",1,3,10686,2672
5,"rmse","standard",0.207164767122674,"Preprocessor1_Model5",1,3,10686,2672
6,"rmse","standard",0.207283655997641,"Preprocessor1_Model6",1,3,10686,2672
1,"rmse","standard",0.226423670082596,"Preprocessor1_Model1",1,4,10687,2671
2,"rmse","standard",0.212748445649308,"Preprocessor1_Model2",1,4,10687,2671
3,"rmse","standard",0.211047493685183,"Preprocessor1_Model3",1,4,10687,2671
4,"rmse","standard",0.211185749238701,"Preprocessor1_Model4",1,4,10687,2671
5,"rmse","standard",0.211976110550533,"Preprocessor1_Model5",1,4,10687,2671
6,"rmse","standard",0.21269707925042,"Preprocessor1_Model6",1,4,10687,2671
1,"rmse","standard",0.233357783261867,"Preprocessor1_Model1",1,5,10687,2671
2,"rmse","standard",0.219083758274654,"Preprocessor1_Model2",1,5,10687,2671
3,"rmse","standard",0.217665289172835,"Preprocessor1_Model3",1,5,10687,2671
4,"rmse","standard",0.218032830280626,"Preprocessor1_Model4",1,5,10687,2671
5,"rmse","standard",0.218497376875773,"Preprocessor1_Model5",1,5,10687,2671
6,"rmse","standard",0.219355010966961,"Preprocessor1_Model6",1,5,10687,2671
1,"rmse","standard",0.24471944166156,"Preprocessor1_Model1",2,1,10752,2688
2,"rmse","standard",0.229474942966481,"Preprocessor1_Model2",2,1,10752,2688
3,"rmse","standard",0.226759096044966,"Preprocessor1_Model3",2,1,10752,2688
4,"rmse","standard",0.226140044441078,"Preprocessor1_Model4",2,1,10752,2688
5,"rmse","standard",0.2266700410546,"Preprocessor1_Model5",2,1,10752,2688
6,"rmse","standard",0.226734953639417,"Preprocessor1_Model6",2,1,10752,2688
1,"rmse","standard",0.238496520761635,"Preprocessor1_Model1",2,2,10752,2688
2,"rmse","standard",0.222399877234251,"Preprocessor1_Model2",2,2,10752,2688
3,"rmse","standard",0.2205204967051,"Preprocessor1_Model3",2,2,10752,2688
4,"rmse","standard",0.220926455183682,"Preprocessor1_Model4",2,2,10752,2688
5,"rmse","standard",0.221612081201905,"Preprocessor1_Model5",2,2,10752,2688
6,"rmse","standard",0.222784689093442,"Preprocessor1_Model6",2,2,10752,2688
1,"rmse","standard",0.251125806862525,"Preprocessor1_Model1",2,3,10752,2688
2,"rmse","standard",0.235025273495133,"Preprocessor1_Model2",2,3,10752,2688
3,"rmse","standard",0.233072438337914,"Preprocessor1_Model3",2,3,10752,2688
4,"rmse","standard",0.233648589983008,"Preprocessor1_Model4",2,3,10752,2688
5,"rmse","standard",0.233662926782462,"Preprocessor1_Model5",2,3,10752,2688
6,"rmse","standard",0.234501530483592,"Preprocessor1_Model6",2,3,10752,2688
1,"rmse","standard",0.240423732188867,"Preprocessor1_Model1",2,4,10752,2688
2,"rmse","standard",0.222911314588709,"Preprocessor1_Model2",2,4,10752,2688
3,"rmse","standard",0.220455681890121,"Preprocessor1_Model3",2,4,10752,2688
4,"rmse","standard",0.220190075991768,"Preprocessor1_Model4",2,4,10752,2688
5,"rmse","standard",0.220561067531226,"Preprocessor1_Model5",2,4,10752,2688
6,"rmse","standard",0.22177101669062,"Preprocessor1_Model6",2,4,10752,2688
1,"rmse","standard",0.250811992359437,"Preprocessor1_Model1",2,5,10752,2688
2,"rmse","standard",0.235160009520884,"Preprocessor1_Model2",2,5,10752,2688
3,"rmse","standard",0.233664581467782,"Preprocessor1_Model3",2,5,10752,2688
4,"rmse","standard",0.233674531746545,"Preprocessor1_Model4",2,5,10752,2688
5,"rmse","standard",0.234917879951965,"Preprocessor1_Model5",2,5,10752,2688
6,"rmse","standard",0.235347824104347,"Preprocessor1_Model6",2,5,10752,2688
1,"rmse","standard",0.224361050843474,"Preprocessor1_Model1",3,1,13214,3304
2,"rmse","standard",0.208893689414169,"Preprocessor1_Model2",3,1,13214,3304
3,"rmse","standard",0.206566721825108,"Preprocessor1_Model3",3,1,13214,3304
4,"rmse","standard",0.20674132521255,"Preprocessor1_Model4",3,1,13214,3304
5,"rmse","standard",0.207512819098281,"Preprocessor1_Model5",3,1,13214,3304
6,"rmse","standard",0.208191259052056,"Preprocessor1_Model6",3,1,13214,3304
1,"rmse","standard",0.235379150511651,"Preprocessor1_Model1",3,2,13214,3304
2,"rmse","standard",0.22252175674676,"Preprocessor1_Model2",3,2,13214,3304
3,"rmse","standard",0.221650216622548,"Preprocessor1_Model3",3,2,13214,3304
4,"rmse","standard",0.222298557146573,"Preprocessor1_Model4",3,2,13214,3304
5,"rmse","standard",0.22230114306571,"Preprocessor1_Model5",3,2,13214,3304
6,"rmse","standard",0.223299366101563,"Preprocessor1_Model6",3,2,13214,3304
1,"rmse","standard",0.223167552882826,"Preprocessor1_Model1",3,3,13214,3304
2,"rmse","standard",0.208536585329023,"Preprocessor1_Model2",3,3,13214,3304
3,"rmse","standard",0.207017821042126,"Preprocessor1_Model3",3,3,13214,3304
4,"rmse","standard",0.20745269491065,"Preprocessor1_Model4",3,3,13214,3304
5,"rmse","standard",0.207708243686746,"Preprocessor1_Model5",3,3,13214,3304
6,"rmse","standard",0.208704996820519,"Preprocessor1_Model6",3,3,13214,3304
1,"rmse","standard",0.224140401847587,"Preprocessor1_Model1",3,4,13215,3303
2,"rmse","standard",0.208226401780338,"Preprocessor1_Model2",3,4,13215,3303
3,"rmse","standard",0.206468368648834,"Preprocessor1_Model3",3,4,13215,3303
4,"rmse","standard",0.206147228236672,"Preprocessor1_Model4",3,4,13215,3303
5,"rmse","standard",0.20690410163858,"Preprocessor1_Model5",3,4,13215,3303
6,"rmse","standard",0.20771415417311,"Preprocessor1_Model6",3,4,13215,3303
1,"rmse","standard",0.240972205875544,"Preprocessor1_Model1",3,5,13215,3303
2,"rmse","standard",0.225778101323026,"Preprocessor1_Model2",3,5,13215,3303
3,"rmse","standard",0.223650478038316,"Preprocessor1_Model3",3,5,13215,3303
4,"rmse","standard",0.223422100754607,"Preprocessor1_Model4",3,5,13215,3303
5,"rmse","standard",0.224187705314376,"Preprocessor1_Model5",3,5,13215,3303
6,"rmse","standard",0.224921425235515,"Preprocessor1_Model6",3,5,13215,3303
1,"rmse","standard",0.243454721202184,"Preprocessor1_Model1",4,1,8080,2021
2,"rmse","standard",0.22814391375536,"Preprocessor1_Model2",4,1,8080,2021
3,"rmse","standard",0.22589657533452,"Preprocessor1_Model3",4,1,8080,2021
4,"rmse","standard",0.226065166042945,"Preprocessor1_Model4",4,1,8080,2021
5,"rmse","standard",0.22681933097507,"Preprocessor1_Model5",4,1,8080,2021
6,"rmse","standard",0.227937383192151,"Preprocessor1_Model6",4,1,8080,2021
1,"rmse","standard",0.240699758017798,"Preprocessor1_Model1",4,2,8081,2020
2,"rmse","standard",0.223632044371045,"Preprocessor1_Model2",4,2,8081,2020
3,"rmse","standard",0.221289285662681,"Preprocessor1_Model3",4,2,8081,2020
4,"rmse","standard",0.221481499625682,"Preprocessor1_Model4",4,2,8081,2020
5,"rmse","standard",0.223285675347766,"Preprocessor1_Model5",4,2,8081,2020
6,"rmse","standard",0.224159238971709,"Preprocessor1_Model6",4,2,8081,2020
1,"rmse","standard",0.243658219145866,"Preprocessor1_Model1",4,3,8081,2020
2,"rmse","standard",0.228102717980967,"Preprocessor1_Model2",4,3,8081,2020
3,"rmse","standard",0.226067754926882,"Preprocessor1_Model3",4,3,8081,2020
4,"rmse","standard",0.226117694902419,"Preprocessor1_Model4",4,3,8081,2020
5,"rmse","standard",0.226580919027255,"Preprocessor1_Model5",4,3,8081,2020
6,"rmse","standard",0.227844402000852,"Preprocessor1_Model6",4,3,8081,2020
1,"rmse","standard",0.256623757203347,"Preprocessor1_Model1",4,4,8081,2020
2,"rmse","standard",0.239969338600572,"Preprocessor1_Model2",4,4,8081,2020
3,"rmse","standard",0.236152697983328,"Preprocessor1_Model3",4,4,8081,2020
4,"rmse","standard",0.235240506246603,"Preprocessor1_Model4",4,4,8081,2020
5,"rmse","standard",0.23600531202747,"Preprocessor1_Model5",4,4,8081,2020
6,"rmse","standard",0.236616358515631,"Preprocessor1_Model6",4,4,8081,2020
1,"rmse","standard",0.248597970765165,"Preprocessor1_Model1",4,5,8081,2020
2,"rmse","standard",0.23380540030626,"Preprocessor1_Model2",4,5,8081,2020
3,"rmse","standard",0.232126800369205,"Preprocessor1_Model3",4,5,8081,2020
4,"rmse","standard",0.232360505399407,"Preprocessor1_Model4",4,5,8081,2020
5,"rmse","standard",0.232720882845626,"Preprocessor1_Model5",4,5,8081,2020
6,"rmse","standard",0.234276851403198,"Preprocessor1_Model6",4,5,8081,2020
1,"rmse","standard",0.222154494877482,"Preprocessor1_Model1",5,1,14252,3563
2,"rmse","standard",0.207825910042717,"Preprocessor1_Model2",5,1,14252,3563
3,"rmse","standard",0.20584381117407,"Preprocessor1_Model3",5,1,14252,3563
4,"rmse","standard",0.206195915421964,"Preprocessor1_Model4",5,1,14252,3563
5,"rmse","standard",0.206636746292482,"Preprocessor1_Model5",5,1,14252,3563
6,"rmse","standard",0.207164866398206,"Preprocessor1_Model6",5,1,14252,3563
1,"rmse","standard",0.223995784815763,"Preprocessor1_Model1",5,2,14252,3563
2,"rmse","standard",0.212259478921357,"Preprocessor1_Model2",5,2,14252,3563
3,"rmse","standard",0.211101973464327,"Preprocessor1_Model3",5,2,14252,3563
4,"rmse","standard",0.211789093539568,"Preprocessor1_Model4",5,2,14252,3563
5,"rmse","standard",0.212674164165248,"Preprocessor1_Model5",5,2,14252,3563
6,"rmse","standard",0.213150844588646,"Preprocessor1_Model6",5,2,14252,3563
1,"rmse","standard",0.224875197860642,"Preprocessor1_Model1",5,3,14252,3563
2,"rmse","standard",0.208878965175904,"Preprocessor1_Model2",5,3,14252,3563
3,"rmse","standard",0.206564467362668,"Preprocessor1_Model3",5,3,14252,3563
4,"rmse","standard",0.206936869860143,"Preprocessor1_Model4",5,3,14252,3563
5,"rmse","standard",0.207560267436847,"Preprocessor1_Model5",5,3,14252,3563
6,"rmse","standard",0.208094727438806,"Preprocessor1_Model6",5,3,14252,3563
1,"rmse","standard",0.228225964730375,"Preprocessor1_Model1",5,4,14252,3563
2,"rmse","standard",0.215532503210394,"Preprocessor1_Model2",5,4,14252,3563
3,"rmse","standard",0.214276580540091,"Preprocessor1_Model3",5,4,14252,3563
4,"rmse","standard",0.214820110403133,"Preprocessor1_Model4",5,4,14252,3563
5,"rmse","standard",0.215767728229949,"Preprocessor1_Model5",5,4,14252,3563
6,"rmse","standard",0.215956326704211,"Preprocessor1_Model6",5,4,14252,3563
1,"rmse","standard",0.224215809362525,"Preprocessor1_Model1",5,5,14252,3563
2,"rmse","standard",0.212103185385505,"Preprocessor1_Model2",5,5,14252,3563
3,"rmse","standard",0.211025386996611,"Preprocessor1_Model3",5,5,14252,3563
4,"rmse","standard",0.211746769904076,"Preprocessor1_Model4",5,5,14252,3563
5,"rmse","standard",0.212441891446423,"Preprocessor1_Model5",5,5,14252,3563
6,"rmse","standard",0.213180192904368,"Preprocessor1_Model6",5,5,14252,3563
