"mtry",".metric",".estimator",".estimate",".config","cluster","fold","train_n","test_n"
1,"rmse","standard",0.413859636024642,"Preprocessor1_Model1",1,1,12237,960
2,"rmse","standard",0.394280757119296,"Preprocessor1_Model2",1,1,12237,960
3,"rmse","standard",0.386349726530369,"Preprocessor1_Model3",1,1,12237,960
4,"rmse","standard",0.385285188020871,"Preprocessor1_Model4",1,1,12237,960
5,"rmse","standard",0.383969878141833,"Preprocessor1_Model5",1,1,12237,960
6,"rmse","standard",0.385201907968869,"Preprocessor1_Model6",1,1,12237,960
1,"rmse","standard",0.465478326705285,"Preprocessor1_Model1",1,2,12534,773
2,"rmse","standard",0.399515962515635,"Preprocessor1_Model2",1,2,12534,773
3,"rmse","standard",0.373679778361884,"Preprocessor1_Model3",1,2,12534,773
4,"rmse","standard",0.361192495141435,"Preprocessor1_Model4",1,2,12534,773
5,"rmse","standard",0.352786288144495,"Preprocessor1_Model5",1,2,12534,773
6,"rmse","standard",0.349618986373439,"Preprocessor1_Model6",1,2,12534,773
1,"rmse","standard",0.376196155450936,"Preprocessor1_Model1",1,3,12525,833
2,"rmse","standard",0.312003078628456,"Preprocessor1_Model2",1,3,12525,833
3,"rmse","standard",0.291952101576137,"Preprocessor1_Model3",1,3,12525,833
4,"rmse","standard",0.282674150991411,"Preprocessor1_Model4",1,3,12525,833
5,"rmse","standard",0.280205269610355,"Preprocessor1_Model5",1,3,12525,833
6,"rmse","standard",0.278972725342472,"Preprocessor1_Model6",1,3,12525,833
1,"rmse","standard",0.431721695212898,"Preprocessor1_Model1",1,4,4341,8747
2,"rmse","standard",0.375354754386924,"Preprocessor1_Model2",1,4,4341,8747
3,"rmse","standard",0.355307199475395,"Preprocessor1_Model3",1,4,4341,8747
4,"rmse","standard",0.341058186542512,"Preprocessor1_Model4",1,4,4341,8747
5,"rmse","standard",0.334750363633854,"Preprocessor1_Model5",1,4,4341,8747
6,"rmse","standard",0.331679631129549,"Preprocessor1_Model6",1,4,4341,8747
1,"rmse","standard",0.311365664544503,"Preprocessor1_Model1",1,5,11037,2045
2,"rmse","standard",0.303016289408789,"Preprocessor1_Model2",1,5,11037,2045
3,"rmse","standard",0.304583421345804,"Preprocessor1_Model3",1,5,11037,2045
4,"rmse","standard",0.306591454507735,"Preprocessor1_Model4",1,5,11037,2045
5,"rmse","standard",0.313189652668827,"Preprocessor1_Model5",1,5,11037,2045
6,"rmse","standard",0.318771898215193,"Preprocessor1_Model6",1,5,11037,2045
1,"rmse","standard",0.452694917293158,"Preprocessor1_Model1",2,1,9280,4030
2,"rmse","standard",0.442620386600436,"Preprocessor1_Model2",2,1,9280,4030
3,"rmse","standard",0.440039615449267,"Preprocessor1_Model3",2,1,9280,4030
4,"rmse","standard",0.43811631033146,"Preprocessor1_Model4",2,1,9280,4030
5,"rmse","standard",0.441577438561268,"Preprocessor1_Model5",2,1,9280,4030
6,"rmse","standard",0.440982809062257,"Preprocessor1_Model6",2,1,9280,4030
1,"rmse","standard",0.33959931867571,"Preprocessor1_Model1",2,2,11222,1773
2,"rmse","standard",0.300756621353895,"Preprocessor1_Model2",2,2,11222,1773
3,"rmse","standard",0.291623098096652,"Preprocessor1_Model3",2,2,11222,1773
4,"rmse","standard",0.288705550194354,"Preprocessor1_Model4",2,2,11222,1773
5,"rmse","standard",0.289143675506973,"Preprocessor1_Model5",2,2,11222,1773
6,"rmse","standard",0.289917095337213,"Preprocessor1_Model6",2,2,11222,1773
1,"rmse","standard",0.322670636983998,"Preprocessor1_Model1",2,3,7745,5537
2,"rmse","standard",0.293089664034682,"Preprocessor1_Model2",2,3,7745,5537
3,"rmse","standard",0.283419680669396,"Preprocessor1_Model3",2,3,7745,5537
4,"rmse","standard",0.278578609328567,"Preprocessor1_Model4",2,3,7745,5537
5,"rmse","standard",0.279792751493205,"Preprocessor1_Model5",2,3,7745,5537
6,"rmse","standard",0.281334382004312,"Preprocessor1_Model6",2,3,7745,5537
1,"rmse","standard",0.478816364117321,"Preprocessor1_Model1",2,4,11710,1605
2,"rmse","standard",0.419336409918786,"Preprocessor1_Model2",2,4,11710,1605
3,"rmse","standard",0.396758410100307,"Preprocessor1_Model3",2,4,11710,1605
4,"rmse","standard",0.382487422861966,"Preprocessor1_Model4",2,4,11710,1605
5,"rmse","standard",0.374795869788265,"Preprocessor1_Model5",2,4,11710,1605
6,"rmse","standard",0.370569502964608,"Preprocessor1_Model6",2,4,11710,1605
1,"rmse","standard",0.387894095094222,"Preprocessor1_Model1",2,5,12864,495
2,"rmse","standard",0.336540238402223,"Preprocessor1_Model2",2,5,12864,495
3,"rmse","standard",0.317675358944253,"Preprocessor1_Model3",2,5,12864,495
4,"rmse","standard",0.312442159827455,"Preprocessor1_Model4",2,5,12864,495
5,"rmse","standard",0.311799878071361,"Preprocessor1_Model5",2,5,12864,495
6,"rmse","standard",0.310417215444948,"Preprocessor1_Model6",2,5,12864,495
1,"rmse","standard",0.406167970280223,"Preprocessor1_Model1",3,1,15356,990
2,"rmse","standard",0.382626704628353,"Preprocessor1_Model2",3,1,15356,990
3,"rmse","standard",0.374521799415526,"Preprocessor1_Model3",3,1,15356,990
