"mtry",".metric",".estimator",".estimate",".config","cluster","fold","train_n","test_n"
1,"rmse","standard",0.479966177798441,"Preprocessor1_Model1",1,1,12237,960
2,"rmse","standard",0.443338064219702,"Preprocessor1_Model2",1,1,12237,960
3,"rmse","standard",0.431132450881999,"Preprocessor1_Model3",1,1,12237,960
4,"rmse","standard",0.426517780212556,"Preprocessor1_Model4",1,1,12237,960
5,"rmse","standard",0.424179909300373,"Preprocessor1_Model5",1,1,12237,960
6,"rmse","standard",0.423007387756171,"Preprocessor1_Model6",1,1,12237,960
1,"rmse","standard",0.509362182904658,"Preprocessor1_Model1",1,2,12534,773
2,"rmse","standard",0.43410523459671,"Preprocessor1_Model2",1,2,12534,773
3,"rmse","standard",0.409339937455044,"Preprocessor1_Model3",1,2,12534,773
4,"rmse","standard",0.398547006702504,"Preprocessor1_Model4",1,2,12534,773
5,"rmse","standard",0.392209916397124,"Preprocessor1_Model5",1,2,12534,773
6,"rmse","standard",0.390221021102049,"Preprocessor1_Model6",1,2,12534,773
1,"rmse","standard",0.414614455788426,"Preprocessor1_Model1",1,3,12525,833
2,"rmse","standard",0.333792329063127,"Preprocessor1_Model2",1,3,12525,833
3,"rmse","standard",0.313581135376465,"Preprocessor1_Model3",1,3,12525,833
4,"rmse","standard",0.309238924975368,"Preprocessor1_Model4",1,3,12525,833
5,"rmse","standard",0.307560973731361,"Preprocessor1_Model5",1,3,12525,833
6,"rmse","standard",0.308569328570057,"Preprocessor1_Model6",1,3,12525,833
1,"rmse","standard",0.408156427959312,"Preprocessor1_Model1",1,4,4341,8747
2,"rmse","standard",0.3506675205043,"Preprocessor1_Model2",1,4,4341,8747
3,"rmse","standard",0.331131194681179,"Preprocessor1_Model3",1,4,4341,8747
4,"rmse","standard",0.319747121732441,"Preprocessor1_Model4",1,4,4341,8747
5,"rmse","standard",0.311571467357647,"Preprocessor1_Model5",1,4,4341,8747
6,"rmse","standard",0.307533168811526,"Preprocessor1_Model6",1,4,4341,8747
1,"rmse","standard",0.326153462130364,"Preprocessor1_Model1",1,5,11037,2045
2,"rmse","standard",0.307053938223087,"Preprocessor1_Model2",1,5,11037,2045
3,"rmse","standard",0.303799074132679,"Preprocessor1_Model3",1,5,11037,2045
4,"rmse","standard",0.306909718503604,"Preprocessor1_Model4",1,5,11037,2045
5,"rmse","standard",0.31051229348293,"Preprocessor1_Model5",1,5,11037,2045
6,"rmse","standard",0.311994311521659,"Preprocessor1_Model6",1,5,11037,2045
1,"rmse","standard",0.40449904351105,"Preprocessor1_Model1",2,1,9280,4030
2,"rmse","standard",0.380250516489894,"Preprocessor1_Model2",2,1,9280,4030
3,"rmse","standard",0.370567016825027,"Preprocessor1_Model3",2,1,9280,4030
4,"rmse","standard",0.369491458930694,"Preprocessor1_Model4",2,1,9280,4030
5,"rmse","standard",0.369658133374684,"Preprocessor1_Model5",2,1,9280,4030
6,"rmse","standard",0.36985002550396,"Preprocessor1_Model6",2,1,9280,4030
1,"rmse","standard",0.348155543331558,"Preprocessor1_Model1",2,2,11222,1773
2,"rmse","standard",0.310711335862275,"Preprocessor1_Model2",2,2,11222,1773
3,"rmse","standard",0.304273091418672,"Preprocessor1_Model3",2,2,11222,1773
4,"rmse","standard",0.303255747746102,"Preprocessor1_Model4",2,2,11222,1773
5,"rmse","standard",0.304083475402574,"Preprocessor1_Model5",2,2,11222,1773
6,"rmse","standard",0.303722972569327,"Preprocessor1_Model6",2,2,11222,1773
1,"rmse","standard",0.330888055470199,"Preprocessor1_Model1",2,3,7745,5537
2,"rmse","standard",0.297999796592766,"Preprocessor1_Model2",2,3,7745,5537
3,"rmse","standard",0.289100093949889,"Preprocessor1_Model3",2,3,7745,5537
4,"rmse","standard",0.28699740895298,"Preprocessor1_Model4",2,3,7745,5537
5,"rmse","standard",0.286775821262201,"Preprocessor1_Model5",2,3,7745,5537
6,"rmse","standard",0.286929034603608,"Preprocessor1_Model6",2,3,7745,5537
1,"rmse","standard",0.509825937277822,"Preprocessor1_Model1",2,4,11710,1605
2,"rmse","standard",0.444788062173018,"Preprocessor1_Model2",2,4,11710,1605
3,"rmse","standard",0.424047258697422,"Preprocessor1_Model3",2,4,11710,1605
4,"rmse","standard",0.416620225904377,"Preprocessor1_Model4",2,4,11710,1605
5,"rmse","standard",0.411932739437684,"Preprocessor1_Model5",2,4,11710,1605
6,"rmse","standard",0.410690342025987,"Preprocessor1_Model6",2,4,11710,1605
1,"rmse","standard",0.46080449703233,"Preprocessor1_Model1",2,5,12864,495
2,"rmse","standard",0.393597032265169,"Preprocessor1_Model2",2,5,12864,495
3,"rmse","standard",0.366939643375506,"Preprocessor1_Model3",2,5,12864,495
4,"rmse","standard",0.356660102517792,"Preprocessor1_Model4",2,5,12864,495
5,"rmse","standard",0.352384808406707,"Preprocessor1_Model5",2,5,12864,495
6,"rmse","standard",0.351045969749306,"Preprocessor1_Model6",2,5,12864,495
1,"rmse","standard",0.45774551985153,"Preprocessor1_Model1",3,1,15356,990
2,"rmse","standard",0.425188137631563,"Preprocessor1_Model2",3,1,15356,990
3,"rmse","standard",0.416559583108465,"Preprocessor1_Model3",3,1,15356,990
4,"rmse","standard",0.412855369610361,"Preprocessor1_Model4",3,1,15356,990
5,"rmse","standard",0.410876266267236,"Preprocessor1_Model5",3,1,15356,990
6,"rmse","standard",0.408512270612004,"Preprocessor1_Model6",3,1,15356,990
1,"rmse","standard",0.570648065673502,"Preprocessor1_Model1",3,2,15340,1110
2,"rmse","standard",0.482864839032992,"Preprocessor1_Model2",3,2,15340,1110
3,"rmse","standard",0.451110229648953,"Preprocessor1_Model3",3,2,15340,1110
4,"rmse","standard",0.437580855760568,"Preprocessor1_Model4",3,2,15340,1110
5,"rmse","standard",0.430080642693114,"Preprocessor1_Model5",3,2,15340,1110
6,"rmse","standard",0.424807676903641,"Preprocessor1_Model6",3,2,15340,1110
1,"rmse","standard",0.297723641852863,"Preprocessor1_Model1",3,3,12844,3618
2,"rmse","standard",0.274789958590569,"Preprocessor1_Model2",3,3,12844,3618
3,"rmse","standard",0.270273258901486,"Preprocessor1_Model3",3,3,12844,3618
4,"rmse","standard",0.268799168402678,"Preprocessor1_Model4",3,3,12844,3618
5,"rmse","standard",0.269254543830988,"Preprocessor1_Model5",3,3,12844,3618
6,"rmse","standard",0.269399804846987,"Preprocessor1_Model6",3,3,12844,3618
1,"rmse","standard",0.31029199497836,"Preprocessor1_Model1",3,4,7483,8755
2,"rmse","standard",0.291659696485853,"Preprocessor1_Model2",3,4,7483,8755
3,"rmse","standard",0.284069323382075,"Preprocessor1_Model3",3,4,7483,8755
4,"rmse","standard",0.282474024348438,"Preprocessor1_Model4",3,4,7483,8755
5,"rmse","standard",0.281251665833456,"Preprocessor1_Model5",3,4,7483,8755
6,"rmse","standard",0.280602944777084,"Preprocessor1_Model6",3,4,7483,8755
1,"rmse","standard",0.335697246291514,"Preprocessor1_Model1",3,5,14197,2045
2,"rmse","standard",0.314845985673729,"Preprocessor1_Model2",3,5,14197,2045
3,"rmse","standard",0.309394520122195,"Preprocessor1_Model3",3,5,14197,2045
