"","IncNodePurity...1","IncNodePurity...2","IncNodePurity...3","IncNodePurity...4","IncNodePurity...5"
"housingMedianAge",118.447913388624,119.869485037805,144.341994254794,104.607526480838,145.685019163702
"log_medianIncome",1169.09270809859,1512.56058451698,1503.73910445666,1336.36140002781,1584.86698817766
"log_averageRooms",261.243782882774,297.977557017604,291.647386358438,167.909756054218,300.724108836281
"log_averageBedrooms",96.9545857422114,115.313243510714,111.335420447715,88.3022727826813,126.20255938101
"log_popPerHouse",236.97387295194,247.772037267455,310.078304466084,179.626457289946,274.429965589152
"log_population",106.391507073773,115.955594780026,116.373511889794,88.0945590371058,118.278357514383
"housingMedianAge_lag2.5",198.002813506038,302.426742151465,288.844433822468,261.090730343243,271.000057492646
"log_medianIncome_lag2.5",1324.6686723592,1462.915298252,1377.80791533083,931.029744663203,1293.84627918401
"log_averageRooms_lag2.5",316.046233001153,364.85312830545,361.733722665333,168.834159345018,340.333607077407
"log_averageBedrooms_lag2.5",97.5494593227463,102.111754716481,114.599753783751,63.2617366436381,114.29928629843
"log_popPerHouse_lag2.5",288.568033508244,261.231094456103,414.978033321325,169.029982260864,340.477627486871
"log_population_lag2.5",92.7611098220341,87.8845389303435,95.1934712035719,62.6318757378998,124.951606903629
