"mtry",".metric",".estimator",".estimate",".config","cluster","fold","train_n","test_n"
1,"rmse","standard",0.416108258231504,"Preprocessor1_Model1",1,1,12237,960
2,"rmse","standard",0.392312505573145,"Preprocessor1_Model2",1,1,12237,960
3,"rmse","standard",0.381281763898156,"Preprocessor1_Model3",1,1,12237,960
4,"rmse","standard",0.375190977071057,"Preprocessor1_Model4",1,1,12237,960
5,"rmse","standard",0.372573611034865,"Preprocessor1_Model5",1,1,12237,960
6,"rmse","standard",0.372158793961612,"Preprocessor1_Model6",1,1,12237,960
1,"rmse","standard",0.449908691414715,"Preprocessor1_Model1",1,2,12534,773
2,"rmse","standard",0.398912722114105,"Preprocessor1_Model2",1,2,12534,773
3,"rmse","standard",0.377320219787933,"Preprocessor1_Model3",1,2,12534,773
4,"rmse","standard",0.361015897881587,"Preprocessor1_Model4",1,2,12534,773
5,"rmse","standard",0.353943362646402,"Preprocessor1_Model5",1,2,12534,773
6,"rmse","standard",0.343406166779788,"Preprocessor1_Model6",1,2,12534,773
1,"rmse","standard",0.337327695436631,"Preprocessor1_Model1",1,3,12525,833
2,"rmse","standard",0.290539577590395,"Preprocessor1_Model2",1,3,12525,833
3,"rmse","standard",0.275440622460904,"Preprocessor1_Model3",1,3,12525,833
4,"rmse","standard",0.276743987895595,"Preprocessor1_Model4",1,3,12525,833
5,"rmse","standard",0.275656827863607,"Preprocessor1_Model5",1,3,12525,833
6,"rmse","standard",0.279568062119589,"Preprocessor1_Model6",1,3,12525,833
1,"rmse","standard",0.423460131177804,"Preprocessor1_Model1",1,4,4341,8747
2,"rmse","standard",0.3854719950225,"Preprocessor1_Model2",1,4,4341,8747
3,"rmse","standard",0.373984186331655,"Preprocessor1_Model3",1,4,4341,8747
4,"rmse","standard",0.369993550647641,"Preprocessor1_Model4",1,4,4341,8747
5,"rmse","standard",0.368608489916537,"Preprocessor1_Model5",1,4,4341,8747
6,"rmse","standard",0.382480528054068,"Preprocessor1_Model6",1,4,4341,8747
1,"rmse","standard",0.330134814183444,"Preprocessor1_Model1",1,5,11037,2045
2,"rmse","standard",0.32691474317934,"Preprocessor1_Model2",1,5,11037,2045
3,"rmse","standard",0.329376956187142,"Preprocessor1_Model3",1,5,11037,2045
4,"rmse","standard",0.338325302116578,"Preprocessor1_Model4",1,5,11037,2045
5,"rmse","standard",0.343909704504712,"Preprocessor1_Model5",1,5,11037,2045
6,"rmse","standard",0.355079149206388,"Preprocessor1_Model6",1,5,11037,2045
1,"rmse","standard",0.469813649472205,"Preprocessor1_Model1",2,1,9280,4030
2,"rmse","standard",0.44196006798867,"Preprocessor1_Model2",2,1,9280,4030
3,"rmse","standard",0.442368104907726,"Preprocessor1_Model3",2,1,9280,4030
4,"rmse","standard",0.446034118794509,"Preprocessor1_Model4",2,1,9280,4030
5,"rmse","standard",0.446798428417951,"Preprocessor1_Model5",2,1,9280,4030
6,"rmse","standard",0.450936022431056,"Preprocessor1_Model6",2,1,9280,4030
1,"rmse","standard",0.317016770646277,"Preprocessor1_Model1",2,2,11222,1773
2,"rmse","standard",0.295960935487433,"Preprocessor1_Model2",2,2,11222,1773
3,"rmse","standard",0.289069582365149,"Preprocessor1_Model3",2,2,11222,1773
4,"rmse","standard",0.291639187040968,"Preprocessor1_Model4",2,2,11222,1773
5,"rmse","standard",0.292448529969243,"Preprocessor1_Model5",2,2,11222,1773
6,"rmse","standard",0.295670040401458,"Preprocessor1_Model6",2,2,11222,1773
1,"rmse","standard",0.350640396960614,"Preprocessor1_Model1",2,3,7745,5537
2,"rmse","standard",0.321389596188979,"Preprocessor1_Model2",2,3,7745,5537
3,"rmse","standard",0.31658767813011,"Preprocessor1_Model3",2,3,7745,5537
4,"rmse","standard",0.324829810995391,"Preprocessor1_Model4",2,3,7745,5537
5,"rmse","standard",0.334529906036255,"Preprocessor1_Model5",2,3,7745,5537
6,"rmse","standard",0.3430263666958,"Preprocessor1_Model6",2,3,7745,5537
1,"rmse","standard",0.463522960687362,"Preprocessor1_Model1",2,4,11710,1605
2,"rmse","standard",0.414282831595412,"Preprocessor1_Model2",2,4,11710,1605
3,"rmse","standard",0.387374217620208,"Preprocessor1_Model3",2,4,11710,1605
4,"rmse","standard",0.376368433752693,"Preprocessor1_Model4",2,4,11710,1605
5,"rmse","standard",0.368850013331842,"Preprocessor1_Model5",2,4,11710,1605
6,"rmse","standard",0.363416466772827,"Preprocessor1_Model6",2,4,11710,1605
1,"rmse","standard",0.371998350681421,"Preprocessor1_Model1",2,5,12864,495
2,"rmse","standard",0.319798674494453,"Preprocessor1_Model2",2,5,12864,495
3,"rmse","standard",0.300386933297156,"Preprocessor1_Model3",2,5,12864,495
4,"rmse","standard",0.292287446428634,"Preprocessor1_Model4",2,5,12864,495
5,"rmse","standard",0.287592234559556,"Preprocessor1_Model5",2,5,12864,495
6,"rmse","standard",0.287321279226504,"Preprocessor1_Model6",2,5,12864,495
1,"rmse","standard",0.403142163012383,"Preprocessor1_Model1",3,1,15356,990
2,"rmse","standard",0.380057404042537,"Preprocessor1_Model2",3,1,15356,990
3,"rmse","standard",0.372552274961528,"Preprocessor1_Model3",3,1,15356,990
4,"rmse","standard",0.369307907905598,"Preprocessor1_Model4",3,1,15356,990
5,"rmse","standard",0.363225548794809,"Preprocessor1_Model5",3,1,15356,990
6,"rmse","standard",0.359749054267743,"Preprocessor1_Model6",3,1,15356,990
1,"rmse","standard",0.491714575891116,"Preprocessor1_Model1",3,2,15340,1110
2,"rmse","standard",0.434922221484023,"Preprocessor1_Model2",3,2,15340,1110
3,"rmse","standard",0.41266402182466,"Preprocessor1_Model3",3,2,15340,1110
4,"rmse","standard",0.39130218706911,"Preprocessor1_Model4",3,2,15340,1110
5,"rmse","standard",0.374095111988262,"Preprocessor1_Model5",3,2,15340,1110
6,"rmse","standard",0.368657564121585,"Preprocessor1_Model6",3,2,15340,1110
1,"rmse","standard",0.330200652352509,"Preprocessor1_Model1",3,3,12844,3618
2,"rmse","standard",0.325453818391845,"Preprocessor1_Model2",3,3,12844,3618
3,"rmse","standard",0.331393750781187,"Preprocessor1_Model3",3,3,12844,3618
4,"rmse","standard",0.336653907824716,"Preprocessor1_Model4",3,3,12844,3618
5,"rmse","standard",0.340786903679714,"Preprocessor1_Model5",3,3,12844,3618
6,"rmse","standard",0.340211905939497,"Preprocessor1_Model6",3,3,12844,3618
1,"rmse","standard",0.349678814937871,"Preprocessor1_Model1",3,4,7483,8755
2,"rmse","standard",0.342985252416408,"Preprocessor1_Model2",3,4,7483,8755
3,"rmse","standard",0.338801222982237,"Preprocessor1_Model3",3,4,7483,8755
4,"rmse","standard",0.331134720909859,"Preprocessor1_Model4",3,4,7483,8755
5,"rmse","standard",0.331686910898381,"Preprocessor1_Model5",3,4,7483,8755
6,"rmse","standard",0.325277370951346,"Preprocessor1_Model6",3,4,7483,8755
1,"rmse","standard",0.353753972058095,"Preprocessor1_Model1",3,5,14197,2045
2,"rmse","standard",0.342658206658279,"Preprocessor1_Model2",3,5,14197,2045
3,"rmse","standard",0.3381433127152,"Preprocessor1_Model3",3,5,14197,2045
4,"rmse","standard",0.341589887656814,"Preprocessor1_Model4",3,5,14197,2045
5,"rmse","standard",0.347698005143725,"Preprocessor1_Model5",3,5,14197,2045
6,"rmse","standard",0.346589167545595,"Preprocessor1_Model6",3,5,14197,2045
1,"rmse","standard",0.304815509966285,"Preprocessor1_Model1",4,1,8986,1115
2,"rmse","standard",0.29920660634674,"Preprocessor1_Model2",4,1,8986,1115
3,"rmse","standard",0.298309307209149,"Preprocessor1_Model3",4,1,8986,1115
4,"rmse","standard",0.297276026437708,"Preprocessor1_Model4",4,1,8986,1115
5,"rmse","standard",0.29824788106716,"Preprocessor1_Model5",4,1,8986,1115
6,"rmse","standard",0.298002480817182,"Preprocessor1_Model6",4,1,8986,1115
1,"rmse","standard",0.325824105277959,"Preprocessor1_Model1",4,2,7893,1765
2,"rmse","standard",0.31354664697164,"Preprocessor1_Model2",4,2,7893,1765
3,"rmse","standard",0.309062726080709,"Preprocessor1_Model3",4,2,7893,1765
4,"rmse","standard",0.305594870650778,"Preprocessor1_Model4",4,2,7893,1765
5,"rmse","standard",0.304913741139861,"Preprocessor1_Model5",4,2,7893,1765
6,"rmse","standard",0.303556364222244,"Preprocessor1_Model6",4,2,7893,1765
1,"rmse","standard",0.56870175357436,"Preprocessor1_Model1",4,3,4464,5463
2,"rmse","standard",0.509086245947131,"Preprocessor1_Model2",4,3,4464,5463
3,"rmse","standard",0.472366643355336,"Preprocessor1_Model3",4,3,4464,5463
4,"rmse","standard",0.456041526426975,"Preprocessor1_Model4",4,3,4464,5463
5,"rmse","standard",0.447779098966376,"Preprocessor1_Model5",4,3,4464,5463
6,"rmse","standard",0.435266909788736,"Preprocessor1_Model6",4,3,4464,5463
1,"rmse","standard",0.453597717066283,"Preprocessor1_Model1",4,4,8763,1263
2,"rmse","standard",0.410374402325599,"Preprocessor1_Model2",4,4,8763,1263
3,"rmse","standard",0.391545106775784,"Preprocessor1_Model3",4,4,8763,1263
4,"rmse","standard",0.381631043429365,"Preprocessor1_Model4",4,4,8763,1263
5,"rmse","standard",0.374948656454331,"Preprocessor1_Model5",4,4,8763,1263
6,"rmse","standard",0.373848018836038,"Preprocessor1_Model6",4,4,8763,1263
1,"rmse","standard",0.364674126152455,"Preprocessor1_Model1",4,5,9525,495
2,"rmse","standard",0.315683135274859,"Preprocessor1_Model2",4,5,9525,495
3,"rmse","standard",0.292786594486041,"Preprocessor1_Model3",4,5,9525,495
4,"rmse","standard",0.282529119755662,"Preprocessor1_Model4",4,5,9525,495
5,"rmse","standard",0.279007928629628,"Preprocessor1_Model5",4,5,9525,495
6,"rmse","standard",0.275774569112957,"Preprocessor1_Model6",4,5,9525,495
1,"rmse","standard",0.353088559774286,"Preprocessor1_Model1",5,1,8971,8733
2,"rmse","standard",0.324581307010191,"Preprocessor1_Model2",5,1,8971,8733
3,"rmse","standard",0.309301845609361,"Preprocessor1_Model3",5,1,8971,8733
4,"rmse","standard",0.302704408303954,"Preprocessor1_Model4",5,1,8971,8733
5,"rmse","standard",0.29820388718239,"Preprocessor1_Model5",5,1,8971,8733
6,"rmse","standard",0.296991053877061,"Preprocessor1_Model6",5,1,8971,8733
1,"rmse","standard",0.343144048166528,"Preprocessor1_Model1",5,2,15716,1678
2,"rmse","standard",0.312650676653058,"Preprocessor1_Model2",5,2,15716,1678
3,"rmse","standard",0.306219094785415,"Preprocessor1_Model3",5,2,15716,1678
4,"rmse","standard",0.302392858209039,"Preprocessor1_Model4",5,2,15716,1678
5,"rmse","standard",0.301547428643918,"Preprocessor1_Model5",5,2,15716,1678
6,"rmse","standard",0.301383657889198,"Preprocessor1_Model6",5,2,15716,1678
1,"rmse","standard",0.328235943864654,"Preprocessor1_Model1",5,3,12825,4878
2,"rmse","standard",0.305372060715204,"Preprocessor1_Model2",5,3,12825,4878
3,"rmse","standard",0.302339414218371,"Preprocessor1_Model3",5,3,12825,4878
4,"rmse","standard",0.307526354395598,"Preprocessor1_Model4",5,3,12825,4878
5,"rmse","standard",0.308453911534942,"Preprocessor1_Model5",5,3,12825,4878
6,"rmse","standard",0.316839832358681,"Preprocessor1_Model6",5,3,12825,4878
