"mtry",".metric",".estimator",".estimate",".config","cluster","fold","train_n","test_n"
1,"rmse","standard",0.47570579512348,"Preprocessor1_Model1",1,1,12237,960
2,"rmse","standard",0.462691824744195,"Preprocessor1_Model2",1,1,12237,960
3,"rmse","standard",0.461167161474815,"Preprocessor1_Model3",1,1,12237,960
4,"rmse","standard",0.461211548865875,"Preprocessor1_Model4",1,1,12237,960
5,"rmse","standard",0.462322104487321,"Preprocessor1_Model5",1,1,12237,960
6,"rmse","standard",0.463850621640176,"Preprocessor1_Model6",1,1,12237,960
1,"rmse","standard",0.560078944835679,"Preprocessor1_Model1",1,2,12534,773
2,"rmse","standard",0.510628147484727,"Preprocessor1_Model2",1,2,12534,773
3,"rmse","standard",0.501301167981117,"Preprocessor1_Model3",1,2,12534,773
4,"rmse","standard",0.501484891260025,"Preprocessor1_Model4",1,2,12534,773
5,"rmse","standard",0.500940790492696,"Preprocessor1_Model5",1,2,12534,773
6,"rmse","standard",0.502160056462648,"Preprocessor1_Model6",1,2,12534,773
1,"rmse","standard",0.438013990988502,"Preprocessor1_Model1",1,3,12525,833
2,"rmse","standard",0.383496754830228,"Preprocessor1_Model2",1,3,12525,833
3,"rmse","standard",0.372343857641904,"Preprocessor1_Model3",1,3,12525,833
4,"rmse","standard",0.369996649766206,"Preprocessor1_Model4",1,3,12525,833
5,"rmse","standard",0.37153164397325,"Preprocessor1_Model5",1,3,12525,833
6,"rmse","standard",0.372906188328734,"Preprocessor1_Model6",1,3,12525,833
1,"rmse","standard",0.424980313726157,"Preprocessor1_Model1",1,4,4341,8747
2,"rmse","standard",0.390925832197121,"Preprocessor1_Model2",1,4,4341,8747
3,"rmse","standard",0.385358381295468,"Preprocessor1_Model3",1,4,4341,8747
4,"rmse","standard",0.384649353172782,"Preprocessor1_Model4",1,4,4341,8747
5,"rmse","standard",0.387024113066532,"Preprocessor1_Model5",1,4,4341,8747
6,"rmse","standard",0.389919980611636,"Preprocessor1_Model6",1,4,4341,8747
1,"rmse","standard",0.343594052778051,"Preprocessor1_Model1",1,5,11037,2045
2,"rmse","standard",0.347147663825268,"Preprocessor1_Model2",1,5,11037,2045
3,"rmse","standard",0.352440331626359,"Preprocessor1_Model3",1,5,11037,2045
4,"rmse","standard",0.356128241963059,"Preprocessor1_Model4",1,5,11037,2045
