"model","valid_mean_rmse","valid_se","test_mean_rmse","test_se","mean_valid_test_diff","valid_test_diff_se","lower_95","upper_95"
"random_lag20_predictors",0.217,0.01,0.319,0.02,0.099,0.01,0.0759399586479583,0.122060041352042
"random_lag20_response",0.231,0.006,0.267,0.011,0.035,0.006,0.021163975188775,0.048836024811225
"random_lag5_predictors",0.232,0.012,0.293,0.029,0.057,0.014,0.0247159421071417,0.0892840578928583
"random_lag5_response",0.221,0.008,0.237,0.015,0.014,0.008,-0.00444803308163333,0.0324480330816333
"random_no_lag",0.322,0.014,0.355,0.046,0.026,0.021,-0.0224260868392875,0.0744260868392875
"spatial_buff_lag20_predictors",0.333,0.047,0.319,0.014,-0.021,0.022,-0.0717320909744917,0.0297320909744917
"spatial_buff_lag20_response",0.261,0.022,0.267,0.012,0.003,0.011,-0.0223660454872458,0.0283660454872458
"spatial_buff_lag5_predictors",0.324,0.052,0.293,0.029,-0.037,0.026,-0.0969561075153083,0.0229561075153083
"spatial_buff_lag5_response",0.255,0.026,0.237,0.015,-0.02,0.014,-0.0522840578928583,0.0122840578928583
"spatial_lag20_predictors",0.33,0.045,0.317,0.013,-0.02,0.021,-0.0684260868392875,0.0284260868392875
"spatial_lag20_response",0.261,0.022,0.267,0.012,0.005,0.011,-0.0203660454872458,0.0303660454872458
"spatial_lag5_predictors",0.322,0.051,0.292,0.029,-0.036,0.026,-0.0959561075153083,0.0239561075153083
"spatial_lag5_response",0.254,0.025,0.237,0.015,-0.018,0.013,-0.0479780537576542,0.0119780537576542
"spatial_no_lag",0.392,0.069,0.355,0.043,-0.041,0.037,-0.126322153002554,0.0443221530025541
