"model","valid_mean_rmse","valid_se","test_mean_rmse","test_se","mean_valid_test_diff","valid_test_diff_se","lower_95","upper_95"
"random_lag20_predictors",0.217,0.003,0.319,0.012,0.099,0.03,0.051,0.167
"random_lag20_response",0.231,0.001,0.267,0.006,0.035,0.013,0.013,0.065
"random_lag5_predictors",0.232,0.005,0.293,0.018,0.057,0.013,0.035,0.086
"random_lag5_response",0.221,0.003,0.237,0.008,0.014,0.006,0.001,0.023
"random_no_lag",0.322,0.006,0.355,0.029,0.026,0.012,0.005,0.052
"spatial_buff_lag20_predictors",0.333,0.008,0.319,0.009,-0.021,0.011,-0.045,0
"spatial_buff_lag20_response",0.261,0.003,0.267,0.005,0.003,0.003,-0.002,0.01
"spatial_buff_lag5_predictors",0.324,0.009,0.293,0.018,-0.037,0.021,-0.077,0.003
"spatial_buff_lag5_response",0.255,0.005,0.237,0.008,-0.02,0.015,-0.055,0.002
"spatial_lag20_predictors",0.33,0.007,0.317,0.009,-0.02,0.011,-0.041,0
"spatial_lag20_response",0.261,0.003,0.267,0.006,0.005,0.004,-0.001,0.014
"spatial_lag5_predictors",0.322,0.008,0.292,0.018,-0.036,0.021,-0.076,0.004
"spatial_lag5_response",0.254,0.005,0.237,0.008,-0.018,0.014,-0.052,0.003
"spatial_no_lag",0.392,0.008,0.355,0.028,-0.041,0.028,-0.099,0.012
