model,Moran_5km,p_sim_5km,Moran_20km,p_sim_20km,Moran_50km,p_sim_50km
random_lag20_predictors,0.533,0.001,0.379,0.001,0.277,0.001
random_lag20_response,0.328,0.001,0.137,0.001,0.111,0.001
random_lag5_predictors,0.405,0.001,0.29,0.001,0.198,0.001
random_lag5_response,0.064,0.001,0.094,0.001,0.072,0.001
random_no_lag,0.39,0.001,0.339,0.001,0.28,0.001
spatial_buff_lag20_predictors,0.521,0.001,0.365,0.001,0.252,0.001
spatial_buff_lag20_response,0.334,0.001,0.144,0.001,0.114,0.001
spatial_buff_lag5_predictors,0.403,0.001,0.287,0.001,0.194,0.001
spatial_buff_lag5_response,0.064,0.001,0.094,0.001,0.072,0.001
spatial_lag20_predictors,0.517,0.001,0.362,0.001,0.252,0.001
spatial_lag20_response,0.332,0.001,0.142,0.001,0.113,0.001
spatial_lag5_predictors,0.4,0.001,0.285,0.001,0.193,0.001
spatial_lag5_response,0.064,0.001,0.094,0.001,0.072,0.001
spatial_no_lag,0.369,0.001,0.319,0.001,0.261,0.001
