"mtry",".metric",".estimator",".estimate",".config","cluster","fold","train_n","test_n"
1,"rmse","standard",0.264657418219032,"Preprocessor1_Model1",1,1,10686,2672
2,"rmse","standard",0.23949460518185,"Preprocessor1_Model2",1,1,10686,2672
3,"rmse","standard",0.231828378542146,"Preprocessor1_Model3",1,1,10686,2672
4,"rmse","standard",0.230176822470569,"Preprocessor1_Model4",1,1,10686,2672
5,"rmse","standard",0.228860684106881,"Preprocessor1_Model5",1,1,10686,2672
6,"rmse","standard",0.228403810681644,"Preprocessor1_Model6",1,1,10686,2672
1,"rmse","standard",0.264783718377429,"Preprocessor1_Model1",1,2,10686,2672
2,"rmse","standard",0.242294263426442,"Preprocessor1_Model2",1,2,10686,2672
3,"rmse","standard",0.237536651170885,"Preprocessor1_Model3",1,2,10686,2672
4,"rmse","standard",0.236426957305939,"Preprocessor1_Model4",1,2,10686,2672
5,"rmse","standard",0.235841546083734,"Preprocessor1_Model5",1,2,10686,2672
6,"rmse","standard",0.236686606693385,"Preprocessor1_Model6",1,2,10686,2672
1,"rmse","standard",0.25811547042677,"Preprocessor1_Model1",1,3,10686,2672
2,"rmse","standard",0.233754737209271,"Preprocessor1_Model2",1,3,10686,2672
3,"rmse","standard",0.22784032578825,"Preprocessor1_Model3",1,3,10686,2672
4,"rmse","standard",0.225609745704641,"Preprocessor1_Model4",1,3,10686,2672
5,"rmse","standard",0.224660116033618,"Preprocessor1_Model5",1,3,10686,2672
6,"rmse","standard",0.224255471279939,"Preprocessor1_Model6",1,3,10686,2672
1,"rmse","standard",0.255634238973506,"Preprocessor1_Model1",1,4,10687,2671
2,"rmse","standard",0.233498826258667,"Preprocessor1_Model2",1,4,10687,2671
3,"rmse","standard",0.227964865041714,"Preprocessor1_Model3",1,4,10687,2671
4,"rmse","standard",0.227523899073892,"Preprocessor1_Model4",1,4,10687,2671
5,"rmse","standard",0.22647942149536,"Preprocessor1_Model5",1,4,10687,2671
6,"rmse","standard",0.226878855163736,"Preprocessor1_Model6",1,4,10687,2671
1,"rmse","standard",0.262255132092872,"Preprocessor1_Model1",1,5,10687,2671
2,"rmse","standard",0.239412087694777,"Preprocessor1_Model2",1,5,10687,2671
3,"rmse","standard",0.234313145924907,"Preprocessor1_Model3",1,5,10687,2671
4,"rmse","standard",0.232757028043438,"Preprocessor1_Model4",1,5,10687,2671
5,"rmse","standard",0.232683418576889,"Preprocessor1_Model5",1,5,10687,2671
6,"rmse","standard",0.231785149029933,"Preprocessor1_Model6",1,5,10687,2671
1,"rmse","standard",0.281826818131965,"Preprocessor1_Model1",2,1,10752,2688
2,"rmse","standard",0.255697003495036,"Preprocessor1_Model2",2,1,10752,2688
3,"rmse","standard",0.249172270239888,"Preprocessor1_Model3",2,1,10752,2688
4,"rmse","standard",0.247797867935685,"Preprocessor1_Model4",2,1,10752,2688
5,"rmse","standard",0.246713479488951,"Preprocessor1_Model5",2,1,10752,2688
6,"rmse","standard",0.246476172768791,"Preprocessor1_Model6",2,1,10752,2688
1,"rmse","standard",0.276931470028494,"Preprocessor1_Model1",2,2,10752,2688
2,"rmse","standard",0.252588531345366,"Preprocessor1_Model2",2,2,10752,2688
3,"rmse","standard",0.245780549156151,"Preprocessor1_Model3",2,2,10752,2688
4,"rmse","standard",0.245119569681941,"Preprocessor1_Model4",2,2,10752,2688
5,"rmse","standard",0.244389319391406,"Preprocessor1_Model5",2,2,10752,2688
6,"rmse","standard",0.244506086482679,"Preprocessor1_Model6",2,2,10752,2688
1,"rmse","standard",0.279402736707014,"Preprocessor1_Model1",2,3,10752,2688
2,"rmse","standard",0.257229522633968,"Preprocessor1_Model2",2,3,10752,2688
3,"rmse","standard",0.252141656461706,"Preprocessor1_Model3",2,3,10752,2688
4,"rmse","standard",0.25057092939024,"Preprocessor1_Model4",2,3,10752,2688
5,"rmse","standard",0.249972131040127,"Preprocessor1_Model5",2,3,10752,2688
6,"rmse","standard",0.249436225441465,"Preprocessor1_Model6",2,3,10752,2688
1,"rmse","standard",0.274686637150261,"Preprocessor1_Model1",2,4,10752,2688
2,"rmse","standard",0.247427441553777,"Preprocessor1_Model2",2,4,10752,2688
3,"rmse","standard",0.240440446592412,"Preprocessor1_Model3",2,4,10752,2688
4,"rmse","standard",0.237861917531456,"Preprocessor1_Model4",2,4,10752,2688
5,"rmse","standard",0.237155156496047,"Preprocessor1_Model5",2,4,10752,2688
6,"rmse","standard",0.236526136946257,"Preprocessor1_Model6",2,4,10752,2688
1,"rmse","standard",0.279153060559571,"Preprocessor1_Model1",2,5,10752,2688
2,"rmse","standard",0.257502097509965,"Preprocessor1_Model2",2,5,10752,2688
3,"rmse","standard",0.251835764556882,"Preprocessor1_Model3",2,5,10752,2688
4,"rmse","standard",0.25020862923325,"Preprocessor1_Model4",2,5,10752,2688
5,"rmse","standard",0.249561244429129,"Preprocessor1_Model5",2,5,10752,2688
6,"rmse","standard",0.249354777950257,"Preprocessor1_Model6",2,5,10752,2688
1,"rmse","standard",0.257929797057141,"Preprocessor1_Model1",3,1,13214,3304
2,"rmse","standard",0.232894389304788,"Preprocessor1_Model2",3,1,13214,3304
3,"rmse","standard",0.226351059593099,"Preprocessor1_Model3",3,1,13214,3304
4,"rmse","standard",0.224084974604148,"Preprocessor1_Model4",3,1,13214,3304
5,"rmse","standard",0.223188171392725,"Preprocessor1_Model5",3,1,13214,3304
6,"rmse","standard",0.223061908668113,"Preprocessor1_Model6",3,1,13214,3304
1,"rmse","standard",0.261706302190228,"Preprocessor1_Model1",3,2,13214,3304
2,"rmse","standard",0.238672984680092,"Preprocessor1_Model2",3,2,13214,3304
3,"rmse","standard",0.233315471473062,"Preprocessor1_Model3",3,2,13214,3304
4,"rmse","standard",0.231904892823476,"Preprocessor1_Model4",3,2,13214,3304
5,"rmse","standard",0.23138706285069,"Preprocessor1_Model5",3,2,13214,3304
6,"rmse","standard",0.230981157916043,"Preprocessor1_Model6",3,2,13214,3304
1,"rmse","standard",0.254047494391793,"Preprocessor1_Model1",3,3,13214,3304
2,"rmse","standard",0.231374327979176,"Preprocessor1_Model2",3,3,13214,3304
