"mtry",".metric",".estimator",".estimate",".config","cluster","fold","train_n","test_n"
1,"rmse","standard",0.232109523621614,"Preprocessor1_Model1",1,1,10686,2672
2,"rmse","standard",0.217967221404493,"Preprocessor1_Model2",1,1,10686,2672
3,"rmse","standard",0.215489844987276,"Preprocessor1_Model3",1,1,10686,2672
4,"rmse","standard",0.215425468869612,"Preprocessor1_Model4",1,1,10686,2672
5,"rmse","standard",0.216344898972946,"Preprocessor1_Model5",1,1,10686,2672
6,"rmse","standard",0.216677361802712,"Preprocessor1_Model6",1,1,10686,2672
1,"rmse","standard",0.234869761393496,"Preprocessor1_Model1",1,2,10686,2672
2,"rmse","standard",0.221798211529737,"Preprocessor1_Model2",1,2,10686,2672
3,"rmse","standard",0.221184875467338,"Preprocessor1_Model3",1,2,10686,2672
4,"rmse","standard",0.221827845386567,"Preprocessor1_Model4",1,2,10686,2672
5,"rmse","standard",0.223191984051751,"Preprocessor1_Model5",1,2,10686,2672
6,"rmse","standard",0.224134794246541,"Preprocessor1_Model6",1,2,10686,2672
1,"rmse","standard",0.224959343438985,"Preprocessor1_Model1",1,3,10686,2672
2,"rmse","standard",0.213830480485727,"Preprocessor1_Model2",1,3,10686,2672
3,"rmse","standard",0.212762801703882,"Preprocessor1_Model3",1,3,10686,2672
4,"rmse","standard",0.213241552646315,"Preprocessor1_Model4",1,3,10686,2672
5,"rmse","standard",0.213963950064808,"Preprocessor1_Model5",1,3,10686,2672
6,"rmse","standard",0.21471070437416,"Preprocessor1_Model6",1,3,10686,2672
1,"rmse","standard",0.22447377520735,"Preprocessor1_Model1",1,4,10687,2671
2,"rmse","standard",0.216728853199707,"Preprocessor1_Model2",1,4,10687,2671
3,"rmse","standard",0.21695459496264,"Preprocessor1_Model3",1,4,10687,2671
4,"rmse","standard",0.2171642245686,"Preprocessor1_Model4",1,4,10687,2671
5,"rmse","standard",0.218008868929334,"Preprocessor1_Model5",1,4,10687,2671
6,"rmse","standard",0.218461377214293,"Preprocessor1_Model6",1,4,10687,2671
1,"rmse","standard",0.234356132183936,"Preprocessor1_Model1",1,5,10687,2671
2,"rmse","standard",0.224266587866358,"Preprocessor1_Model2",1,5,10687,2671
3,"rmse","standard",0.223700202929168,"Preprocessor1_Model3",1,5,10687,2671
4,"rmse","standard",0.224072632904629,"Preprocessor1_Model4",1,5,10687,2671
5,"rmse","standard",0.225235284716598,"Preprocessor1_Model5",1,5,10687,2671
6,"rmse","standard",0.226064782772566,"Preprocessor1_Model6",1,5,10687,2671
1,"rmse","standard",0.24308942921414,"Preprocessor1_Model1",2,1,10752,2688
2,"rmse","standard",0.231424069502353,"Preprocessor1_Model2",2,1,10752,2688
3,"rmse","standard",0.230563303910072,"Preprocessor1_Model3",2,1,10752,2688
4,"rmse","standard",0.230471106866006,"Preprocessor1_Model4",2,1,10752,2688
