"mtry",".metric",".estimator",".estimate",".config","cluster","fold","train_n","test_n"
1,"rmse","standard",0.337278769012195,"Preprocessor1_Model1",1,1,10686,2672
2,"rmse","standard",0.324622845820652,"Preprocessor1_Model2",1,1,10686,2672
3,"rmse","standard",0.324658562844569,"Preprocessor1_Model3",1,1,10686,2672
4,"rmse","standard",0.325804807836598,"Preprocessor1_Model4",1,1,10686,2672
5,"rmse","standard",0.327302456765503,"Preprocessor1_Model5",1,1,10686,2672
6,"rmse","standard",0.328109751136226,"Preprocessor1_Model6",1,1,10686,2672
1,"rmse","standard",0.337721488617773,"Preprocessor1_Model1",1,2,10686,2672
2,"rmse","standard",0.329460940189576,"Preprocessor1_Model2",1,2,10686,2672
3,"rmse","standard",0.331119740354163,"Preprocessor1_Model3",1,2,10686,2672
4,"rmse","standard",0.333049649296939,"Preprocessor1_Model4",1,2,10686,2672
5,"rmse","standard",0.334668137606533,"Preprocessor1_Model5",1,2,10686,2672
6,"rmse","standard",0.336803649411729,"Preprocessor1_Model6",1,2,10686,2672
1,"rmse","standard",0.329535799328201,"Preprocessor1_Model1",1,3,10686,2672
2,"rmse","standard",0.315114582903053,"Preprocessor1_Model2",1,3,10686,2672
3,"rmse","standard",0.314132635380549,"Preprocessor1_Model3",1,3,10686,2672
4,"rmse","standard",0.314554454975241,"Preprocessor1_Model4",1,3,10686,2672
5,"rmse","standard",0.315621680311434,"Preprocessor1_Model5",1,3,10686,2672
6,"rmse","standard",0.317108169116428,"Preprocessor1_Model6",1,3,10686,2672
1,"rmse","standard",0.322801423551349,"Preprocessor1_Model1",1,4,10687,2671
2,"rmse","standard",0.313163848730913,"Preprocessor1_Model2",1,4,10687,2671
3,"rmse","standard",0.313789042864712,"Preprocessor1_Model3",1,4,10687,2671
4,"rmse","standard",0.315457366544492,"Preprocessor1_Model4",1,4,10687,2671
5,"rmse","standard",0.316841373085043,"Preprocessor1_Model5",1,4,10687,2671
6,"rmse","standard",0.318564628715279,"Preprocessor1_Model6",1,4,10687,2671
1,"rmse","standard",0.331879956726692,"Preprocessor1_Model1",1,5,10687,2671
2,"rmse","standard",0.321246278859456,"Preprocessor1_Model2",1,5,10687,2671
3,"rmse","standard",0.322118841574002,"Preprocessor1_Model3",1,5,10687,2671
4,"rmse","standard",0.323874591421565,"Preprocessor1_Model4",1,5,10687,2671
5,"rmse","standard",0.324756272184142,"Preprocessor1_Model5",1,5,10687,2671
6,"rmse","standard",0.326363252097983,"Preprocessor1_Model6",1,5,10687,2671
1,"rmse","standard",0.348161892014374,"Preprocessor1_Model1",2,1,10752,2688
2,"rmse","standard",0.33719025289525,"Preprocessor1_Model2",2,1,10752,2688
3,"rmse","standard",0.336563702827091,"Preprocessor1_Model3",2,1,10752,2688
4,"rmse","standard",0.336992713418045,"Preprocessor1_Model4",2,1,10752,2688
5,"rmse","standard",0.339053761254122,"Preprocessor1_Model5",2,1,10752,2688
6,"rmse","standard",0.339414827760379,"Preprocessor1_Model6",2,1,10752,2688
1,"rmse","standard",0.348477580275679,"Preprocessor1_Model1",2,2,10752,2688
2,"rmse","standard",0.33464973705995,"Preprocessor1_Model2",2,2,10752,2688
3,"rmse","standard",0.333764126240424,"Preprocessor1_Model3",2,2,10752,2688
4,"rmse","standard",0.334133706717933,"Preprocessor1_Model4",2,2,10752,2688
5,"rmse","standard",0.335873439281084,"Preprocessor1_Model5",2,2,10752,2688
6,"rmse","standard",0.337374382598003,"Preprocessor1_Model6",2,2,10752,2688
1,"rmse","standard",0.35273097492842,"Preprocessor1_Model1",2,3,10752,2688
2,"rmse","standard",0.34187193410999,"Preprocessor1_Model2",2,3,10752,2688
3,"rmse","standard",0.341414226051985,"Preprocessor1_Model3",2,3,10752,2688
