"mtry",".metric",".estimator",".estimate",".config","cluster","fold","train_n","test_n"
1,"rmse","standard",0.269527034061799,"Preprocessor1_Model1",1,1,12237,960
2,"rmse","standard",0.253801933931021,"Preprocessor1_Model2",1,1,12237,960
3,"rmse","standard",0.255717012904151,"Preprocessor1_Model3",1,1,12237,960
4,"rmse","standard",0.259949173023294,"Preprocessor1_Model4",1,1,12237,960
5,"rmse","standard",0.262383419383825,"Preprocessor1_Model5",1,1,12237,960
6,"rmse","standard",0.263691615085479,"Preprocessor1_Model6",1,1,12237,960
1,"rmse","standard",0.283958308786343,"Preprocessor1_Model1",1,2,12534,773
2,"rmse","standard",0.244499830858291,"Preprocessor1_Model2",1,2,12534,773
3,"rmse","standard",0.241276465976065,"Preprocessor1_Model3",1,2,12534,773
4,"rmse","standard",0.242341914715857,"Preprocessor1_Model4",1,2,12534,773
5,"rmse","standard",0.243085012977657,"Preprocessor1_Model5",1,2,12534,773
6,"rmse","standard",0.24637697185747,"Preprocessor1_Model6",1,2,12534,773
1,"rmse","standard",0.248989264289682,"Preprocessor1_Model1",1,3,12525,833
2,"rmse","standard",0.239644383434184,"Preprocessor1_Model2",1,3,12525,833
3,"rmse","standard",0.240221185603343,"Preprocessor1_Model3",1,3,12525,833
4,"rmse","standard",0.24144329538586,"Preprocessor1_Model4",1,3,12525,833
5,"rmse","standard",0.242828450282054,"Preprocessor1_Model5",1,3,12525,833
6,"rmse","standard",0.242820575702941,"Preprocessor1_Model6",1,3,12525,833
1,"rmse","standard",0.279328768469996,"Preprocessor1_Model1",1,4,4341,8747
2,"rmse","standard",0.262094559890558,"Preprocessor1_Model2",1,4,4341,8747
3,"rmse","standard",0.265496050097357,"Preprocessor1_Model3",1,4,4341,8747
4,"rmse","standard",0.268451089306897,"Preprocessor1_Model4",1,4,4341,8747
5,"rmse","standard",0.270784531092676,"Preprocessor1_Model5",1,4,4341,8747
6,"rmse","standard",0.272491215016017,"Preprocessor1_Model6",1,4,4341,8747
1,"rmse","standard",0.281579566701213,"Preprocessor1_Model1",1,5,11037,2045
2,"rmse","standard",0.277572913942111,"Preprocessor1_Model2",1,5,11037,2045
3,"rmse","standard",0.278652072301172,"Preprocessor1_Model3",1,5,11037,2045
4,"rmse","standard",0.280949820966796,"Preprocessor1_Model4",1,5,11037,2045
5,"rmse","standard",0.282789434185783,"Preprocessor1_Model5",1,5,11037,2045
6,"rmse","standard",0.283986445471198,"Preprocessor1_Model6",1,5,11037,2045
1,"rmse","standard",0.313625002214986,"Preprocessor1_Model1",2,1,9280,4030
2,"rmse","standard",0.307795458218439,"Preprocessor1_Model2",2,1,9280,4030
3,"rmse","standard",0.308014316266661,"Preprocessor1_Model3",2,1,9280,4030
4,"rmse","standard",0.309292009066563,"Preprocessor1_Model4",2,1,9280,4030
5,"rmse","standard",0.308782411729294,"Preprocessor1_Model5",2,1,9280,4030
6,"rmse","standard",0.310694096427703,"Preprocessor1_Model6",2,1,9280,4030
1,"rmse","standard",0.254854079102111,"Preprocessor1_Model1",2,2,11222,1773
2,"rmse","standard",0.257291736358673,"Preprocessor1_Model2",2,2,11222,1773
3,"rmse","standard",0.259500199129555,"Preprocessor1_Model3",2,2,11222,1773
4,"rmse","standard",0.260878500192166,"Preprocessor1_Model4",2,2,11222,1773
5,"rmse","standard",0.262025557181521,"Preprocessor1_Model5",2,2,11222,1773
6,"rmse","standard",0.262109141038379,"Preprocessor1_Model6",2,2,11222,1773
1,"rmse","standard",0.263226995088319,"Preprocessor1_Model1",2,3,7745,5537
2,"rmse","standard",0.262962192212638,"Preprocessor1_Model2",2,3,7745,5537
3,"rmse","standard",0.266249443728766,"Preprocessor1_Model3",2,3,7745,5537
4,"rmse","standard",0.269056607787602,"Preprocessor1_Model4",2,3,7745,5537
5,"rmse","standard",0.270659566113556,"Preprocessor1_Model5",2,3,7745,5537
6,"rmse","standard",0.273067985321962,"Preprocessor1_Model6",2,3,7745,5537
1,"rmse","standard",0.308829657280597,"Preprocessor1_Model1",2,4,11710,1605
2,"rmse","standard",0.26066419558568,"Preprocessor1_Model2",2,4,11710,1605
3,"rmse","standard",0.251559551749852,"Preprocessor1_Model3",2,4,11710,1605
4,"rmse","standard",0.251634016424645,"Preprocessor1_Model4",2,4,11710,1605
5,"rmse","standard",0.254078341287888,"Preprocessor1_Model5",2,4,11710,1605
6,"rmse","standard",0.256429024022314,"Preprocessor1_Model6",2,4,11710,1605
1,"rmse","standard",0.290794165329688,"Preprocessor1_Model1",2,5,12864,495
2,"rmse","standard",0.265730827470905,"Preprocessor1_Model2",2,5,12864,495
3,"rmse","standard",0.261113732064523,"Preprocessor1_Model3",2,5,12864,495
4,"rmse","standard",0.261097563358481,"Preprocessor1_Model4",2,5,12864,495
5,"rmse","standard",0.262260161119634,"Preprocessor1_Model5",2,5,12864,495
6,"rmse","standard",0.263197060669681,"Preprocessor1_Model6",2,5,12864,495
1,"rmse","standard",0.272601636954121,"Preprocessor1_Model1",3,1,15356,990
2,"rmse","standard",0.250357005731139,"Preprocessor1_Model2",3,1,15356,990
3,"rmse","standard",0.250943176728667,"Preprocessor1_Model3",3,1,15356,990
4,"rmse","standard",0.25399651864751,"Preprocessor1_Model4",3,1,15356,990
5,"rmse","standard",0.254767378722218,"Preprocessor1_Model5",3,1,15356,990
6,"rmse","standard",0.257123596476192,"Preprocessor1_Model6",3,1,15356,990
1,"rmse","standard",0.290831357751196,"Preprocessor1_Model1",3,2,15340,1110
2,"rmse","standard",0.233583080103212,"Preprocessor1_Model2",3,2,15340,1110
3,"rmse","standard",0.229617602632131,"Preprocessor1_Model3",3,2,15340,1110
4,"rmse","standard",0.232035181949002,"Preprocessor1_Model4",3,2,15340,1110
5,"rmse","standard",0.234036961185402,"Preprocessor1_Model5",3,2,15340,1110
6,"rmse","standard",0.236025540600828,"Preprocessor1_Model6",3,2,15340,1110
1,"rmse","standard",0.255545440677507,"Preprocessor1_Model1",3,3,12844,3618
2,"rmse","standard",0.247585981652656,"Preprocessor1_Model2",3,3,12844,3618
3,"rmse","standard",0.248952314063627,"Preprocessor1_Model3",3,3,12844,3618
4,"rmse","standard",0.250688017959034,"Preprocessor1_Model4",3,3,12844,3618
5,"rmse","standard",0.252014197427815,"Preprocessor1_Model5",3,3,12844,3618
6,"rmse","standard",0.254351762445002,"Preprocessor1_Model6",3,3,12844,3618
1,"rmse","standard",0.264013841184753,"Preprocessor1_Model1",3,4,7483,8755
2,"rmse","standard",0.262440978088257,"Preprocessor1_Model2",3,4,7483,8755
3,"rmse","standard",0.264174952490047,"Preprocessor1_Model3",3,4,7483,8755
4,"rmse","standard",0.265977657792219,"Preprocessor1_Model4",3,4,7483,8755
5,"rmse","standard",0.266391861071041,"Preprocessor1_Model5",3,4,7483,8755
6,"rmse","standard",0.266913874370779,"Preprocessor1_Model6",3,4,7483,8755
1,"rmse","standard",0.290041571298956,"Preprocessor1_Model1",3,5,14197,2045
2,"rmse","standard",0.284069662778488,"Preprocessor1_Model2",3,5,14197,2045
3,"rmse","standard",0.284584750345963,"Preprocessor1_Model3",3,5,14197,2045
4,"rmse","standard",0.286535647048856,"Preprocessor1_Model4",3,5,14197,2045
5,"rmse","standard",0.28745207355401,"Preprocessor1_Model5",3,5,14197,2045
6,"rmse","standard",0.288223163647202,"Preprocessor1_Model6",3,5,14197,2045
1,"rmse","standard",0.279522520330526,"Preprocessor1_Model1",4,1,8986,1115
2,"rmse","standard",0.277705610788314,"Preprocessor1_Model2",4,1,8986,1115
3,"rmse","standard",0.278885212205681,"Preprocessor1_Model3",4,1,8986,1115
4,"rmse","standard",0.280634213385071,"Preprocessor1_Model4",4,1,8986,1115
5,"rmse","standard",0.28185438124915,"Preprocessor1_Model5",4,1,8986,1115
6,"rmse","standard",0.282703898742816,"Preprocessor1_Model6",4,1,8986,1115
1,"rmse","standard",0.261897177846704,"Preprocessor1_Model1",4,2,7893,1765
2,"rmse","standard",0.259234970883839,"Preprocessor1_Model2",4,2,7893,1765
3,"rmse","standard",0.261507130620087,"Preprocessor1_Model3",4,2,7893,1765
4,"rmse","standard",0.262639284925646,"Preprocessor1_Model4",4,2,7893,1765
5,"rmse","standard",0.2633853604669,"Preprocessor1_Model5",4,2,7893,1765
6,"rmse","standard",0.263295880858548,"Preprocessor1_Model6",4,2,7893,1765
1,"rmse","standard",0.398559722461781,"Preprocessor1_Model1",4,3,4464,5463
2,"rmse","standard",0.340952401000947,"Preprocessor1_Model2",4,3,4464,5463
3,"rmse","standard",0.324634110374204,"Preprocessor1_Model3",4,3,4464,5463
4,"rmse","standard",0.319786467117266,"Preprocessor1_Model4",4,3,4464,5463
5,"rmse","standard",0.31846545230344,"Preprocessor1_Model5",4,3,4464,5463
6,"rmse","standard",0.318972478515725,"Preprocessor1_Model6",4,3,4464,5463
1,"rmse","standard",0.285170148597113,"Preprocessor1_Model1",4,4,8763,1263
2,"rmse","standard",0.251701043357214,"Preprocessor1_Model2",4,4,8763,1263
3,"rmse","standard",0.246643296466197,"Preprocessor1_Model3",4,4,8763,1263
4,"rmse","standard",0.248230330339483,"Preprocessor1_Model4",4,4,8763,1263
5,"rmse","standard",0.250452812008543,"Preprocessor1_Model5",4,4,8763,1263
6,"rmse","standard",0.25141293857613,"Preprocessor1_Model6",4,4,8763,1263
1,"rmse","standard",0.277024289054715,"Preprocessor1_Model1",4,5,9525,495
2,"rmse","standard",0.253096699335094,"Preprocessor1_Model2",4,5,9525,495
3,"rmse","standard",0.249944769314405,"Preprocessor1_Model3",4,5,9525,495
4,"rmse","standard",0.251016378316042,"Preprocessor1_Model4",4,5,9525,495
5,"rmse","standard",0.254387128524287,"Preprocessor1_Model5",4,5,9525,495
6,"rmse","standard",0.253880860324715,"Preprocessor1_Model6",4,5,9525,495
1,"rmse","standard",0.27414942633448,"Preprocessor1_Model1",5,1,8971,8733
2,"rmse","standard",0.272515863048182,"Preprocessor1_Model2",5,1,8971,8733
3,"rmse","standard",0.274088492009472,"Preprocessor1_Model3",5,1,8971,8733
4,"rmse","standard",0.275823695854882,"Preprocessor1_Model4",5,1,8971,8733
5,"rmse","standard",0.276498289442938,"Preprocessor1_Model5",5,1,8971,8733
6,"rmse","standard",0.277942919114942,"Preprocessor1_Model6",5,1,8971,8733
1,"rmse","standard",0.264615743820226,"Preprocessor1_Model1",5,2,15716,1678
2,"rmse","standard",0.251564806889492,"Preprocessor1_Model2",5,2,15716,1678
3,"rmse","standard",0.254275170306269,"Preprocessor1_Model3",5,2,15716,1678
4,"rmse","standard",0.256744856952978,"Preprocessor1_Model4",5,2,15716,1678
5,"rmse","standard",0.258202851159518,"Preprocessor1_Model5",5,2,15716,1678
