mtry,.metric,.estimator,.estimate,.config,cluster,fold,train_n,test_n
1,rmse,standard,0.269762088,Preprocessor1_Model1,1,1,12398,960
2,rmse,standard,0.253860825,Preprocessor1_Model2,1,1,12398,960
3,rmse,standard,0.255311899,Preprocessor1_Model3,1,1,12398,960
4,rmse,standard,0.258431007,Preprocessor1_Model4,1,1,12398,960
5,rmse,standard,0.260386241,Preprocessor1_Model5,1,1,12398,960
6,rmse,standard,0.262203181,Preprocessor1_Model6,1,1,12398,960
1,rmse,standard,0.279535012,Preprocessor1_Model1,1,2,12585,773
2,rmse,standard,0.24328434,Preprocessor1_Model2,1,2,12585,773
3,rmse,standard,0.240572242,Preprocessor1_Model3,1,2,12585,773
4,rmse,standard,0.241286387,Preprocessor1_Model4,1,2,12585,773
5,rmse,standard,0.243547559,Preprocessor1_Model5,1,2,12585,773
6,rmse,standard,0.245619645,Preprocessor1_Model6,1,2,12585,773
1,rmse,standard,0.248989264,Preprocessor1_Model1,1,3,12525,833
2,rmse,standard,0.239644383,Preprocessor1_Model2,1,3,12525,833
3,rmse,standard,0.240221186,Preprocessor1_Model3,1,3,12525,833
4,rmse,standard,0.241443295,Preprocessor1_Model4,1,3,12525,833
5,rmse,standard,0.24282845,Preprocessor1_Model5,1,3,12525,833
6,rmse,standard,0.242820576,Preprocessor1_Model6,1,3,12525,833
1,rmse,standard,0.276498216,Preprocessor1_Model1,1,4,4611,8747
2,rmse,standard,0.264411489,Preprocessor1_Model2,1,4,4611,8747
3,rmse,standard,0.266345859,Preprocessor1_Model3,1,4,4611,8747
4,rmse,standard,0.271418267,Preprocessor1_Model4,1,4,4611,8747
5,rmse,standard,0.273634353,Preprocessor1_Model5,1,4,4611,8747
6,rmse,standard,0.276524418,Preprocessor1_Model6,1,4,4611,8747
1,rmse,standard,0.281635704,Preprocessor1_Model1,1,5,11313,2045
2,rmse,standard,0.278299941,Preprocessor1_Model2,1,5,11313,2045
3,rmse,standard,0.279211251,Preprocessor1_Model3,1,5,11313,2045
4,rmse,standard,0.281283079,Preprocessor1_Model4,1,5,11313,2045
5,rmse,standard,0.282755938,Preprocessor1_Model5,1,5,11313,2045
6,rmse,standard,0.28518242,Preprocessor1_Model6,1,5,11313,2045
1,rmse,standard,0.314284004,Preprocessor1_Model1,2,1,9410,4030
2,rmse,standard,0.307641122,Preprocessor1_Model2,2,1,9410,4030
3,rmse,standard,0.308457537,Preprocessor1_Model3,2,1,9410,4030
4,rmse,standard,0.309699362,Preprocessor1_Model4,2,1,9410,4030
5,rmse,standard,0.309204712,Preprocessor1_Model5,2,1,9410,4030
6,rmse,standard,0.310541886,Preprocessor1_Model6,2,1,9410,4030
1,rmse,standard,0.252881624,Preprocessor1_Model1,2,2,11667,1773
