mtry,.metric,.estimator,.estimate,.config,cluster,fold,train_n,test_n
1,rmse,standard,0.449656844,Preprocessor1_Model1,1,1,12398,960
2,rmse,standard,0.419362808,Preprocessor1_Model2,1,1,12398,960
3,rmse,standard,0.408037284,Preprocessor1_Model3,1,1,12398,960
4,rmse,standard,0.40218201,Preprocessor1_Model4,1,1,12398,960
5,rmse,standard,0.400107236,Preprocessor1_Model5,1,1,12398,960
6,rmse,standard,0.39852915,Preprocessor1_Model6,1,1,12398,960
1,rmse,standard,0.477374854,Preprocessor1_Model1,1,2,12585,773
2,rmse,standard,0.407923905,Preprocessor1_Model2,1,2,12585,773
3,rmse,standard,0.384822932,Preprocessor1_Model3,1,2,12585,773
4,rmse,standard,0.372148893,Preprocessor1_Model4,1,2,12585,773
5,rmse,standard,0.366970542,Preprocessor1_Model5,1,2,12585,773
6,rmse,standard,0.363245094,Preprocessor1_Model6,1,2,12585,773
1,rmse,standard,0.38194069,Preprocessor1_Model1,1,3,12525,833
2,rmse,standard,0.315682677,Preprocessor1_Model2,1,3,12525,833
3,rmse,standard,0.298611628,Preprocessor1_Model3,1,3,12525,833
4,rmse,standard,0.296070711,Preprocessor1_Model4,1,3,12525,833
5,rmse,standard,0.297028252,Preprocessor1_Model5,1,3,12525,833
6,rmse,standard,0.298311039,Preprocessor1_Model6,1,3,12525,833
1,rmse,standard,0.381845578,Preprocessor1_Model1,1,4,4611,8747
2,rmse,standard,0.328099347,Preprocessor1_Model2,1,4,4611,8747
3,rmse,standard,0.307267539,Preprocessor1_Model3,1,4,4611,8747
4,rmse,standard,0.299981531,Preprocessor1_Model4,1,4,4611,8747
5,rmse,standard,0.296087896,Preprocessor1_Model5,1,4,4611,8747
6,rmse,standard,0.293438625,Preprocessor1_Model6,1,4,4611,8747
1,rmse,standard,0.323437984,Preprocessor1_Model1,1,5,11313,2045
2,rmse,standard,0.310742165,Preprocessor1_Model2,1,5,11313,2045
