"model","valid_mean_rmse","valid_se","test_mean_rmse","test_se","mean_valid_test_diff","valid_test_diff_se","lower_95","upper_95"
"random_lag20_predictors",0.217,0.007,0.319,0.02,0.099,0.009,0.0782459627831625,0.119754037216838
"random_lag20_response",0.231,0.003,0.267,0.011,0.035,0.005,0.0234699793239792,0.0465300206760208
"random_lag5_predictors",0.232,0.012,0.293,0.029,0.057,0.014,0.0247159421071417,0.0892840578928583
"random_lag5_response",0.221,0.007,0.237,0.015,0.014,0.007,-0.00214202894642916,0.0301420289464292
"random_no_lag",0.322,0.013,0.355,0.046,0.026,0.021,-0.0224260868392875,0.0744260868392875
"spatial_buff_lag20_predictors",0.333,0.02,0.319,0.014,-0.021,0.011,-0.0463660454872458,0.00436604548724583
"spatial_buff_lag20_response",0.261,0.007,0.267,0.012,0.003,0.006,-0.010836024811225,0.016836024811225
"spatial_buff_lag5_predictors",0.324,0.021,0.293,0.029,-0.037,0.016,-0.0738960661632667,-0.000103933836733336
"spatial_buff_lag5_response",0.255,0.011,0.237,0.015,-0.02,0.009,-0.0407540372168375,0.000754037216837495
"spatial_lag20_predictors",0.33,0.019,0.317,0.013,-0.02,0.011,-0.0453660454872458,0.00536604548724583
"spatial_lag20_response",0.261,0.006,0.267,0.012,0.005,0.006,-0.008836024811225,0.018836024811225
"spatial_lag5_predictors",0.322,0.021,0.292,0.029,-0.036,0.016,-0.0728960661632667,0.000896066163266665
"spatial_lag5_response",0.254,0.011,0.237,0.015,-0.018,0.008,-0.0364480330816333,0.000448033081633332
"spatial_no_lag",0.392,0.021,0.355,0.043,-0.041,0.021,-0.0894260868392875,0.00742608683928749
