local_authority,IMD,five_a_day,active,pop_density,age45orOver,ethnicityWhite,male,facilities_per1000
Adur,17.59,35.04,70.33,1535.31,50.94,93.42,48.36,2.06
Allerdale,22.94,33.85,66.44,78.8,54.02,98.45,48.98,3.5
Amber Valley,17.97,35.41,71.32,485.44,51.6,97.28,49.1,2.01
Arun,18.64,35.66,65.48,730.03,55.01,95.82,48.19,1.66
Ashfield,26.31,26.58,61.39,1171.42,46.97,95.13,48.98,1.77
Ashford,18.55,35.75,66.63,225.65,46.09,88.06,48.66,2.46
Babergh,14.27,39.98,70.58,156.18,55.01,96.67,48.53,3.03
Barking and Dagenham,32.77,23.99,58.45,5932.52,30.94,44.9,48.7,1.12
Barnet,16.15,32.08,66.12,4600.18,38.84,57.73,48.43,1.66
Barnsley,29.93,30.74,60.72,753.89,47.11,96.88,49.18,2.23
Barrow-in-Furness,31.12,25.32,62.15,855.89,49.06,97.04,49.6,2.67
Basildon,23.24,29.68,64.1,1704.69,42.42,87.5,48.55,1.67
Basingstoke and Deane,12.82,30.3,72.79,280.46,44.27,88.49,49.51,2.31
Bassetlaw,22.59,29.24,67.01,185.43,50.54,96.45,49.58,2.67
Bath and North East Somerset,11.75,37.91,77.31,567.93,44.22,92.19,48.8,2.76
Bedford,18.93,30.96,67.58,366.67,42.28,75.68,49.2,2.75
Bexley,16.27,22.56,63.66,4116.63,42.34,71.88,48.08,1.67
Birmingham,38.07,23.9,58.11,4259.06,35.26,48.62,48.95,1.29
Blaby,10.63,25.39,65.83,781.43,47.13,86.23,49.01,2.5
Blackburn with Darwen,36.01,24.33,53.75,1095.02,38.74,60.35,49.56,2.06
Blackpool,45.04,29.93,59.12,3967.23,48.75,94.69,49.37,1.82
Bolsover,25.05,26,62.19,507.11,48.76,97.35,49.31,2.36
Bolton,30.69,24.32,59.65,2061.81,42.25,71.95,49.3,1.87
Boston,22.97,29.4,59.5,195.93,46.91,94.65,49.21,1.88
"Bournemouth, Christchurch and Poole",18.17,34.39,67.26,2460.85,46.97,91.33,48.82,1.63
Bracknell Forest,10.24,29.4,69.6,1135.11,41.76,86.09,49.31,2.78
Bradford,34.67,25.3,58.94,1479.54,38.81,61.13,48.95,1.67
Braintree,14.72,37.24,66.78,250.27,48.01,94.66,49.03,2.32
