local_authority,active,BNG_E,BNG_N,LONG,LAT,GlobalID,geometry
Adur,70.33,518076,106472,-0.32417,50.8457,aced8318-f5f3-4647-9d08-f672f847c26b,"POLYGON ((523604.0031000003 108612.2993999999, 525687.7083 104627.8024000004, 523640.14859999996 104462.76999999955, 523824.33829999994 104905.16939999908, 523230.94710000046 104857.16679999977, 523410.5580000002 104446.70470000058, 522070.1162999999 104383.57660000026, 521401.4009999996 104441.00339999981, 519999.98709999956 104031.22509999946, 517547.10360000003 103313.99340000004, 517512.74430000037 103305.69009999931, 515919.4001000002 104351.19910000078, 514993.00150000025 108050.3002000004, 515159.5022 109610.80350000039, 516856.4018000001 108324.50170000084, 522790.9989 108429.1018000003, 522856.5965999998 109455.99789999984, 523604.0031000003 108612.2993999999))"
Allerdale,66.44,317520,532997,-3.2809,54.6852,2016c84d-39f5-43ef-ac75-62d9579074ce,"POLYGON ((326663.4539000001 560575.2711999994, 327051.9060000004 560160.5950000007, 327445.0312000001 560104.9430999998, 327619.48500000034 559999.9623000007, 328366.0366000002 559550.7115000002, 327876.699 557334.8039999995, 330953.2034 557188.5958999991, 331407.2012 555521.2031999994, 332281.30140000023 555177.9013999999, 331288.49710000027 554002.9977000002, 332390.20210000034 552827.0044, 331379.3989000004 552293.7970000003, 331647.8992999997 551648.6017000005, 334436.2965000002 551323.6046999991, 334010.6040000003 549922.7957000006, 332816.00179999974 549243.0002999995, 333879.20239999983 548479.7986999992, 334092.0981999999 545630.1044999994, 335698.2030999996 545499.9016999993, 335197.5959999999 544486.4017999992, 336576.6979 544761.5031000003, 336774.29899999965 542804.2032999992, 336302.7969000004 541154.7954999991, 334045.00239999965 539690.3047000002, 336739.0533999996 536659.0828000009, 336144.40110000037 533918.9967, 331541.19990000036 534413.6951000001, 330365.09970000014 533894.3037999999, 330009.5974000003 532880.1041000001, 332099.7039000001 532143.1950000003, 330005.4642000003 530372.0911999997, 329478.4009999996 528189.1967999991, 329898.6024000002 524707.5034999996, 332629.3996000001 524849.8026999999, 333279.90189999994 523558.3024000004, 335002.50129999965 522706.3962999992, 333068.2017000001 521136.2957000006, 334272.50009999983 520451.8016999997, 333579.8985000001 519563.9957999997, 334348.19799999986 518958.7990000006, 333716.1975999996 515462.9997000005, 334385.0039999997 514952.29590000026, 334374.6975999996 512086.5962000005, 330381.90309999976 510979.8029999994, 328956.39800000004 509058.40300000086, 328200.2022000002 509304.00269999914, 327977.70100000035 507914.90029999986, 326446.9972000001 508969.3984999992, 324427.0974000003 507150.99899999984, 321097.8984000003 510314.10349999927, 321584.3981999997 511602.40479999967, 320787.7028000001 512580.20490000024, 315595.59810000006 515767.50239999965, 312098.6037999997 516704.20439999923, 311136.39690000005 520652.3043000009, 310048.8980999999 522093.2017999999, 307452.19859999977 523421.70150000043, 306625.69710000046 521666.0041000005, 304368.70239999983 521672.90210000053, 303868.1035000002 523532.2999000009, 302485.8025000002 524339.5987999998, 300218.0974000003 524649.3001000006, 299682.00349999964 523471.99709999934, 298506.29279999994 523971.6746999994, 298967.7999999998 525250.2992000002, 298153.5999999996 529717.9991999995, 298685.8997999998 529557.6997999996, 299999.9894000003 531279.0896000005, 302166.8002000004 534117.5001999997, 302584.8521999996 535849.0462999996, 302979.2854000004 536806.8892999999, 303835.40020000003 536291.9011000004, 303014.0965 536888.5966999996, 306315.93620000035 540000.0259000007, 307489.69849999994 541106.0997000001, 307679 546183.8000000007, 310257.6001000004 553418.1001999993, 311712.6986999996 555240.5997000001, 314241.80030000024 556987.9031000007, 314174.9000000004 556547.9002, 316560.20019999985 555263.0002999995, 317844.8013000004 554109.0972000007, 317450.7999 556015.5998, 318295.30319999997 555982.4011000004, 318866.5 555953.4987000003, 320000.0025000004 557054.6904000007, 320034.2845999999 557087.9953000005, 320000.0025000004 557183.4688000008, 319681.59979999997 558070.1999999993, 318347.50260000024 557226.1951000001, 316232.99899999984 558203.2953999992, 315921.40079999994 559066.9991999995, 316623.5758999996 559999.9622000009, 317767.6007000003 561520, 319041.59920000006 561662.6997999996, 318798.9031999996 561003.6038000006, 320000.0142999999 561887.1641000006, 321184.1003999999 562758.2005000003, 322966.2999999998 562800.0998999998, 326663.4539000001 560575.2711999994))"
Amber Valley,71.32,436166,348084,-1.46219,53.0288,5c6c3a01-32ba-4b6d-9e01-a82924e6b0a1,"POLYGON ((442027.89630000014 356921.70160000026, 442909.30150000006 354987.59520000033, 444868.4023000002 353958.0998999998, 444027.19990000036 352232.00400000066, 444613.70409999974 350838.20299999975, 444896.5014000004 348413.19710000046, 446571.8978000004 345370.6981000006, 444897.2023 342516.4951000009, 442334.5959999999 341930.9026999995, 441359.99679999985 342947.2017999999, 439760.9992000004 342346.1038000006, 435094.3027999997 342925.9978, 435383.39940000046 341078.69659999944, 433988.0959000001 341063.3010000009, 433161.8996000001 337895.09789999947, 430748.99899999984 336405.8041999992, 428991.10250000004 337683.99829999916, 426708.49849999975 337784.09970000014, 426495.00090000033 338935.4001000002, 427005.7000000002 340653.1984000001, 428907.39859999996 341106.7985999994, 428876.0014000004 341933.00210000016, 426806.90330000035 343194.3010000009, 426992.10390000045 344639.6973000001, 428497.60259999987 345053.19889999926, 428358.09609999973 346456.7971999999, 429164.39719999954 346351.3972999994, 428533.5016000001 346791.30140000023, 429186.7000000002 347327.39800000004, 427943.6003999999 347088.4963000007, 427019.0981999999 348204.9967, 428191.39749999996 349527.3981999997, 427481.8027999997 350906.90330000035, 430030.1037999997 352511.20409999974, 431335.0991000002 354513.7008999996, 432290.60280000046 354441.70150000043, 432773.20270000026 355237.6037000008, 431492.5963000003 356020.79949999973, 431986.30229999963 358243.3033000007, 433859.29980000015 359761.8986000009, 437037.30090000015 356415.39650000073, 442027.89630000014 356921.70160000026))"
Arun,65.48,495144,105723,-0.64999,50.8432,e63f5f3b-bf27-48b3-8758-6eb460903e6c,"POLYGON ((501838.5011999998 112335.50359999947, 502574.00189999957 111204.09750000015, 501310.1989000002 110804.90169999935, 502182.6995000001 109958.60400000028, 502921.5971999997 110655.5044999998, 503870.3975999998 110314.10219999962, 505581.89910000004 112228.40430000052, 506093.29899999965 110612.49679999985, 506784.4000000004 112165.50229999982, 507256.3968000002 110613.29659999907, 508079.50129999965 110509.69620000012, 508996.5993999997 111807.70470000058, 509848.7017000001 109829.90080000088, 510478.3027999997 111561.4952000007, 511814.10170000046 110876.50119999982, 511730.80179999955 110099.20370000042, 513135.70249999966 111663.09610000066, 514044.3990000002 110817.4980999995, 515174.5 111163.49909999967, 515159.5022 109610.80350000039, 514993.00150000025 108050.3002000004, 513992.1995000001 108321.6026000008, 512069.2039000001 107066.70179999992, 511099.0981999999 107932.70390000008, 511180.3037999999 105758.69620000012, 509513.1030000001 105631.90249999985, 510321.7592000002 101567.91249999963, 510306.79729999974 101564.2968000006, 502840.8037999999 101089.40269999951, 501931.1146 100868.12560000084, 500988.8837000001 100807.51380000077, 499999.9840000002 100525.11119999923, 498161.33829999994 100000.04450000077, 497006.1326000001 99670.14949999936, 491634.3970999997 98363.50310000032, 490994.2615 97953.32440000027, 489962.0039999997 97658.5399999991, 489040.6246999996 96701.49540000036, 488187.6634999998 96154.94459999911, 487809.6096999999 96796.52209999971, 487312.5011999998 97767.60219999962, 487263.36930000037 97723.52150000073, 487190.9028000003 97846.50100000016, 488231.29760000017 98738.1958000008, 487843.30150000006 99752.59539999999, 489270.70299999975 100107.90369999968, 489242.00189999957 101862.60139999911, 490351.59750000015 101415.09950000048, 492394.7977999998 102292.59840000048, 492171.9008999998 106386.8964000009, 492912.5959000001 107915.69879999943, 495071.20239999983 108361.70109999925, 494669.0990000004 112662.89990000054, 495084.40270000044 112040.09820000082, 497310.0992999999 112698.69959999993, 501838.5011999998 112335.50359999947))"
Ashfield,61.39,450035,355843,-1.25422,53.0975,a2e114f4-e88b-4f0b-bf6d-c491dc716112,"POLYGON ((449576.0022999998 363293.39770000055, 449895.00380000006 362199.3008999992, 450855.80069999956 362040.2963999994, 450943.0005000001 360538.1963999998, 455123.7988999998 357827.80220000073, 456051.6980999997 356554.4967, 451952.50100000016 354086.3032000009, 451612.6973000001 351920.50320000015, 452557.59779999964 350480.39540000074, 454929.29789999966 350437.39770000055, 454920.7971999999 347117.7979000006, 453100.99679999985 347049.9974000007, 452089.09700000007 345921.20050000027, 451808.79789999966 347547.90479999967, 450154.5005999999 349427.1969000008, 448040.30200000014 350344.0044999998, 446793.5992999999 349626, 444613.70409999974 350838.20299999975, 444027.19990000036 352232.00400000066, 444868.4023000002 353958.0998999998, 446786.59920000006 354779.0050000008, 446350.89719999954 355728.0033, 446923.2034 356320.90359999985, 445476.3024000004 359488.9967, 445331.50260000024 363013.59779999964, 446849.5007999996 363236.50400000066, 447159.39969999995 364019.49990000017, 449576.0022999998 363293.39770000055))"
Ashford,66.63,597640,140644,0.823374,51.131,4e2d748a-20e1-416a-92a2-a5f1674a356c,"POLYGON ((607507.3032 156358.90210000053, 609323.7973999996 154514.10009999946, 608554.6980999997 152756.9031000007, 610020.9998000003 149767.39890000038, 608986.3022999996 147692.50280000083, 610050.5005999999 146602.20490000024, 609733.2966 144884.09669999965, 611041.6971000005 144543.4042000007, 610535.1040000003 142718.79649999924, 612034.0974000003 141392.19620000012, 610906.0987999998 139637.79839999974, 609726.0987 140165.3973999992, 608664.9016000004 138988.3043000009, 609108.9971000003 137381.9042000007, 607953.8969999999 135029.79739999957, 608127.2988999998 133480.90080000088, 606469.3985000001 132517.19669999927, 605707.3981999997 133185.79529999942, 603585.9027000004 131911.99990000017, 603025.0983999996 130389.39570000023, 601273.0970999999 132027.09699999914, 601255.9967999998 131113.6984000001, 600121.6990999999 130962.30179999955, 600266.6967000002 129700.20299999975, 599166.6984000001 129612.09820000082, 598513.3020000001 131593.10119999945, 595126.2969000004 124797.19649999961, 592389.3982999995 125939.99939999916, 590044.2967999997 125065.69959999993, 587913.2040999997 126067.40289999917, 586760.6023000004 127638.60309999995, 582858.3962000003 126862.59530000016, 581907.7983999997 130144.39589999989, 583099.1025999999 132601.6024999991, 585469.3020000001 134883.2993999999, 584225.6995000001 135744.9026999995, 581936.9035 135533.20329999924, 581416.4009999996 137862.59659999982, 582696.2982999999 138634.69559999928, 582268.9981000004 140161.19859999977, 584733.7023999998 141315.09830000065, 586366.4966000002 144719.90369999968, 587762.3030000003 145588.70500000007, 587627.9002999999 146967.7003000006, 589412.0985000003 147978.60089999996, 589861.8996000001 149282.6975999996, 591865.2021000003 149150.49540000036, 594321.1007000003 152587.50159999914, 595038.6024000002 152470.90499999933, 595250.6983000003 151416.8967000004, 597156.9977000002 151023.59930000082, 598470.4029999999 152494.2982999999, 599761.2002999997 151846.90359999985, 599979.1007000003 152749.99510000087, 603835.9012000002 154263.70179999992, 604086.6995000001 155196.90469999984, 605878.5986000001 154894.50119999982, 606227.2987000002 156491.10419999994, 607507.3032 156358.90210000053))"
Babergh,70.58,599987,244692,0.916149,52.0645,40c0b7e0-cb61-4669-90d9-cd7671b078e5,"MULTIPOLYGON (((625558.7471000003 235175.61319999956, 625727.0784 234731.25659999996, 625592.3995000003 234819.5030000005, 625558.7471000003 235175.61319999956)), ((585789.9029999999 256922.7960000001, 586316.3006999996 255363.90220000036, 587358.3032 255945.0957999993, 587652.9982000003 254771.40179999918, 588832.6025999999 254613.6969000008, 589412.1974 256583.10319999978, 590646.1037999997 256952.69739999995, 592539.7965000002 256228.30480000004, 593388.3038999997 255354.09500000067, 596299.0991000002 255801.49689999968, 597219.5034999996 254626.7031999994, 598047.7034 254991.29890000075, 597976.2022000002 254185.89939999953, 601068.8998999996 255097.4985000007, 602204.5004000003 249913.20240000077, 603698.1014999999 249567.1015000008, 603589.0027999999 248309.4014999997, 605837.4970000004 248729.3013000004, 608181.5018999996 245457.79780000076, 608842.5991000002 246570.79920000024, 610174.4981000004 245210.2985999994, 613185.8994000005 245964.00290000066, 614109.8986999998 244947.40389999934, 613170.8026999999 243235.9037999995, 613616.2008999996 241924.89910000004, 614779.0018999996 241459.90220000036, 616594.5972999996 242075.69590000063, 616876.5515000001 241633.49990000017, 616400.7971000001 241981.40279999934, 617682.4534999998 239999.96319999918, 617789.9992000004 239833.6975999996, 619999.9671999998 238372.02199999988, 620563.5003000004 237999.3004999999, 624441.0015000002 237192.7036000006, 625151.7873 233860.28720000014, 624912.7912999997 233790.11150000058, 622896.2975000003 234180.6958000008, 621336.7029999997 233158.89829999954, 620000.0005999999 233292.83239999972, 619102.0997000001 233382.79979999922, 617396.1999000004 234953.3002000004, 615202.6999000004 232968.09970000014, 612134.9005000005 233435.90020000003, 610985.6323999995 232432.79130000062, 610444.7094999999 232778.7614999991, 610272.3998999996 233022.7985999994, 610356.5762 232835.1308999993, 609493.1014999999 233387.40289999917, 607934.4962999998 232810.39809999987, 606106.5992999999 233744.30069999956, 604209.1963 233492.7028000001, 603565.8011999996 235109.99980000034, 602243.6974999998 234335.20160000026, 601000.5977999996 234898.00049999915, 598576.5992999999 234488.39770000055, 595922.5965999998 232978.19999999925, 594131.1014999999 233775.00200000033, 593218.9008999998 232865.10239999928, 591174.1009999998 233434.1995000001, 590525.0004000003 233845.0019000005, 590636.3004000001 235204.1029000003, 589596.7960999999 235480.50379999913, 589647.6021999996 236824.6989999991, 588039.5018999996 238235.3951999992, 588098.0996000003 240520.6009999998, 586314.7011000002 240021.30399999954, 585038.4976000004 241308.09559999965, 585198.7981000002 242331.30269999988, 586353.8980999999 242402.1024999991, 585388.0964000002 244212.90410000086, 585971.8962000003 245010.6958000008, 583998.5975000001 246577.09740000032, 582134.4963999996 246338.49569999985, 579903.6961000003 251106.30089999922, 581041.9020999996 254620.0951000005, 584220.8019000003 254448.00439999998, 584563.4007000001 257102.70450000092, 585789.9029999999 256922.7960000001)))"
Barking and Dagenham,58.45,547757,185111,0.129479,51.5456,92c9065f-d7af-44d3-9b42-b5186e437766,"POLYGON ((549989.0208 181410.43370000087, 549893.8998999996 181459.79700000025, 547681.5998999998 182202.69989999942, 545680.5582999997 181644.66589999944, 545263.2556999996 182828.96680000052, 543874.6701999996 183187.50290000066, 543523.1017000005 184859.7609000001, 545262.8141000001 185072.5706999991, 546985.5258 186403.52969999984, 547817.4539999999 188036.26369999908, 547409.4911000002 189682.7478, 548880.9093000004 191088.30059999973, 548875.4117999999 187730.20179999992, 549951.6502999999 186962.79990000091, 551552.699 187444.00400000066, 551944.9128999999 186024.39189999923, 549989.0208 181410.43370000087))"
Barnet,66.12,523473,191752,-0.21819,51.6111,2053fb61-1ac3-4a2c-869f-2e66cf9b15ed,"POLYGON ((525822.4945 198220.5167999994, 525566.6770000001 197564.55560000055, 527742.2390000001 196806.7422000002, 529581.8886000002 194263.05110000074, 528563.4039000003 192372.4561999999, 528979.2774 191790.67720000073, 528140.9039000003 190354.55299999937, 527762.0209999997 191218.8839999996, 527770.8081 189090.05450000055, 526832.2814999996 187533.89499999955, 523950.98900000006 185545.74599999934, 522524.19689999986 187379.50249999948, 521301.2719999999 187161.09380000085, 521464.55879999977 188726.05969999917, 520114.37710000016 190480.7195999995, 517435.81549999956 194420.87209999934, 520681.79679999966 195107.4003999997, 521110.9028000003 196700.50439999998, 523755.90189999994 197353.8973999992, 524339.2977 198344.4037999995, 525206.0020000003 197672.59610000066, 525822.4945 198220.5167999994))"
Barnsley,60.72,429979,403327,-1.54925,53.5258,48a6b573-1ea3-40f3-85fc-65faaade6e64,"POLYGON ((443213.9978 409834.89540000074, 444692.09810000006 407048.9028999992, 446630.3964999998 406323.3005999997, 446902.5990000004 404580.6994000003, 448107.7960999999 403928.1962000001, 447418.79750000034 403578.89609999955, 447754.39630000014 402439.80220000073, 445691.20160000026 402119.3038999997, 441204.2971000001 402126.40190000087, 438055.5990000004 398943.2030999996, 437182.7026000004 399520.59779999964, 436447.8037999999 398827.6962000001, 436259.0991000002 397360.0963000003, 433623.6972000003 398955.99939999916, 432309.4014999997 396432.20189999975, 432427.8005999997 395070.8015999999, 431125.40249999985 393603.80150000006, 429901.90139999986 394473.7025000006, 430702.00210000016 396204.4969999995, 429985.6958999997 398066.7039999999, 426198.4013 399647.90139999986, 419924.09949999955 400753.80480000004, 417880.00040000025 399385.6963999998, 417439.40079999994 397854.9046, 414454.1032999996 398695.7039000001, 413272.60250000004 398268.6962000001, 413609.5039999997 400735.2000999991, 411883.9034000002 402726.3002000004, 413068.9001000002 404500.90220000036, 415217.8021 404155.6010999996, 417224.6994000003 404965.4991999995, 418434.49729999993 407067.8973999992, 421995.90189999994 406337.6963999998, 423397.6035000002 407342.09889999963, 425556.59750000015 407445.89919999987, 426835.0025000004 409006.00269999914, 426460.60250000004 410202.40020000003, 427368.69710000046 410844.7962999996, 427460.80260000005 412368.2002000008, 429180.90380000044 412420.49530000053, 431154.6972000003 410828.40100000054, 431951.30200000014 411566.8995999992, 433416.2019999996 411316.0013999995, 433507.1037999997 411963.7960000001, 434268.89800000004 411043.39949999936, 436641.3978000004 413049.59520000033, 439781.9003999997 411509.7960000001, 441339.79640000034 412391.8035000004, 443213.9978 409834.89540000074))"
