distance,morans_I,p_value,n_islands,max_neigh,min_neigh,mean_neigh
2500,0.789,0.001,2507,87,0,16.18217054263566
5000,0.728,0.001,1111,309,0,68.65281007751938
10000,0.653,0.001,457,862,0,228.38062015503877
15000,0.597,0.001,248,1667,0,441.9028100775194
20000,0.554,0.001,139,2461,0,690.3602713178294
25000,0.523,0.001,73,3365,0,985.7724806201551
30000,0.5,0.001,49,4284,0,1292.1058139534885
35000,0.482,0.001,30,5031,0,1603.5714147286822
40000,0.473,0.001,20,5611,0,1900.4243217054263
45000,0.466,0.001,14,6121,0,2186.0526162790698
50000,0.459,0.001,6,6504,0,2457.445639534884
